English;German
jacket;Jacke
jackets;Jacken
jam;Marmelade
janitor/caretaker;Hausmeister
January;Januar
jealous;eifersüchtig
jeans;Jeans
jewelry;der Schmuck, Sg.
job;der Job, -s
job advertisement;die Stellenanzeige, -n
job interview;das Bewerbungsgespräch, -e
job offer, job vacancy;das Stellenangebot, -e
job placement officer, employment agent;Arbeitsvermittler
job search;die Arbeitssuche, Sg.
jogging;Joggen
journey there, arrival travel;Anreise
juice;Saft
Juice is all gone / out of juice;Saft ist alle
July;der Juli
June;der Juni
just as ... as;genauso ... wie
just as/exactly like;genauso
Just take some tablets;Nimm doch Tabletten
just/straight;gerade
justice;die Gerechtigkeit, Sg.
