English;German
wage tax / income tax;Lohnsteuer, die, -n
walking aid;Gehhilfe, die, -n
war;Krieg, der, -e
war orphan;Kriegswaise, der/die, -n
warehouse / storage / camp;Lager, das, -
warehouse assistant;Lagerhelfer/in, der/die, -/-nen
warning triangle;Warndreieck, das, -e
waste / garbage / refuse;Abfall, der, “-e
waste collection calendar / garbage schedule;Abfallkalender, der, -
waste disposal;Müllentsorgung, die, Sg.
waste paper;Altpapier, das, Sg.
waste regulation / garbage rule;Müllregel, die, -n
waste separation;Mülltrennung
waste separation / recycling sorting;Mülltrennung, die, Sg.
wastewater / sewage;Abwasser, das, “-
water quality;Wasserqualität, die, Sg.
weaknesses;Schwächen, die, Pl.
web designer;Webdesigner/in, der/die, -/-nen
well / welfare (here: Cheers! / To your health!);Wohl (hier: Zum Wohl!)
well-groomed / tidy / cultivated;gepflegt
wellness vacation / spa holiday;Wellnessurlaub, der, -e
western / westerly;westlich
while / whereas;während (Konj.)
widowed;verwitwet
WiFi / wireless network;WLAN, das, Sg.
wild;wild
wind energy;Windenergie, die, Sg.
wind power;Windkraft, die, Sg.
wind speed;Windgeschwindigkeit, die, -en
windshield / windscreen;Windschutzscheibe, die, -n
windshield washer fluid;Scheibenwischwasser, das, Sg.
windshield wiper / wiper;Scheibenwischer, der, -
winner;Gewinner/in, der/die, -/-nen
winter schedule / winter timetable;Winterfahrplan, der, “-e
winter weather;Winterwetter, das, Sg.
wishes and reality;Wünsche und Wirklichkeit
within / inside;innerhalb
witness;Zeuge, der
witness (male/female);Zeuge/Zeugin, der/die, -n/-nen
wording / phrasing / formulation;Formulierung, die -en
work activity / job / employment;Arbeitstätigkeit, die, -en
work atmosphere;Arbeitsatmosphäre, die, Sg.
work atmosphere / company climate;Betriebsklima, das Sg.
work atmosphere / working environment;Arbeitsatmosphäre, die Sg.
work pants / work trousers;Arbeitshose, die, -n
world of work / working environment;Arbeitswelt, die, Sg.
wrong-way driver;Falschfahrer/in, der/die, -/-nen
