German;English
was ;(what) – unchangeable
Was ist das? ;(What is that?)
welcher / welche / welches / welchem / welchen (which) – changeable (der-word, declines by gender/case)
Welcher Mann? Welche Frau? Welches Kind? Welchem Freund? Welchen Hund? ;(Which man? Which woman? Which child? Which friend? Which dog?)
wen ;(whom – accusative) – changeable form of wer
Wen siehst du? ;(Whom do you see?)
wem ;(to whom – dative) – changeable form of wer
Wem gibst du das Buch? ;(To whom are you giving the book?)
wer; (who – nominative) – changeable (wer → wen → wem → wessen)
Wer kommt heute? ;(Who is coming today?)
wessen; (whose – genitive) – changeable form of wer
Wessen Buch ist das? ;(Whose book is that?)
wie; (how) – unchangeable
Wie geht es dir?; (How are you?)
wie lange ;(how long) – unchangeable (phrase)
Wie lange lernst du schon Deutsch?; (How long have you been learning German?)
wie viel ;(how much) – unchangeable (phrase)
Wie viel kostet das? ;(How much does that cost?)
wie viele ;(how many) – unchangeable (phrase)
Wie viele Freunde hast du? ;(How many friends do you have?)
wo ;(where – location, no movement) – unchangeable
Wo wohnst du?; (Where do you live?)
woher; (from where – origin/direction) – unchangeable
Woher kommst du?; (Where do you come from?)
wohin ;(to where – direction/goal) – unchangeable
Wohin gehst du? ;(Where are you going?)
womit; (with what) – unchangeable (da/wo compound)
Womit schreibst du? ;(With what are you writing?)
woran ;(on what / at what) – unchangeable (da/wo compound)
Woran denkst du?; (What are you thinking about? – literally: on what)
worauf ;(on what / onto what) – unchangeable (da/wo compound)
Worauf wartest du? ;(What are you waiting for? – literally: on what)
woraus ;(out of what / from what) – unchangeable (da/wo compound)
Woraus ist das gemacht? ;(What is that made out of?)
wodurch ;(through what / by what means) – unchangeable (da/wo compound)
Wodurch ist das passiert? ;(Through what did that happen?)
wofür; (for what) – unchangeable (da/wo compound)
Wofür interessierst du dich? ;(What are you interested in? – literally: for what)
wogegen; (against what) – unchangeable (da/wo compound)
Wogegen kämpfst du? ;(What are you fighting against?)
wozu; (for what purpose / why) – unchangeable (da/wo compound)
Wozu brauchst du das? ;(What do you need that for?)
warum ;(why – reason) – unchangeable
Warum lernst du Deutsch? ;(Why are you learning German?)
weshalb ;(for what reason / why) – unchangeable
Weshalb bist du traurig?; (Why are you sad?)
wieso; (how come / why) – unchangeable
Wieso kommst du zu spät? ;(How come you are late?)
wann; (when – time) – unchangeable
Wann kommst du zurück? ;(When are you coming back?)
