German;English
lachen;to laugh
lächeln;to smile
Sport treiben;to do sports, to exercise
ernst;serious
(A) Ehrenamtlich arbeiten;(A) Volunteering
ehrenamtlich;voluntary, honorary, unpaid
freiwillig;voluntary, willingly
sich engagieren;to get involved, to commit oneself
das Nachbarschaftshaus, -¨er;community center, neighborhood house
der Verein, -e;club, association
gemeinnützig;non-profit, charitable
lebendig;lively, vibrant
der/die Bewohner/in, -/-nen;resident, inhabitant
der Stadtteil, -e;district, part of town
der/die Jugendliche, -n;young person, youth
der/die Erwachsene, -n;adult
vielfältig;diverse, varied
die Veranstaltung, -en;event
die Begegnung, -en;encounter, meeting
der Austausch, Sg.;exchange
sozial;social
die Hausaufgabenhilfe, -n;homework help, tutoring
die Theatergruppe, -n;theater group
die Rechtsberatung, Sg.;legal advice
die Frauengruppe, -n;women's group
die Lohnsteuerhilfe, Sg.;income tax assistance
die Behinderung, -en;disability
die Jugend, Sg.;youth, young people (collectively)
der/die Rentner/in, -/-nen;retiree, pensioner
(B) Vereine;(B) Clubs and Associations
der Turnverein, -e;gymnastics club
der Fußballverein, -e;football (soccer) club
der Kleingartenverein, -e;allotment garden association
das Vereinsleben, Sg.;club life, association life
der Sportverein, -e;sports club
der Freundschaftsverein, -e;friendship society
das Mitglied, -er;member
der Mitgliedsbeitrag, -¨e;membership fee
sich einsetzen für;to advocate for, to campaign for
die Gerechtigkeit, Sg.;justice
die Solidarität, Sg.;solidarity
die Beratung, -en;consultation, advice, counseling
(C) Telefonieren;(C) Telephoning
der/die Anrufer/in, -/-nen;caller
die Telefonzentrale, -n;switchboard, telephone exchange
verbinden;to connect
falsch verbunden;wrong number (connected incorrectly)
die Durchwahl, -en;direct line, extension number
etwas ausrichten;to pass on a message
eine Nachricht hinterlassen;to leave a message
zurückrufen;to call back
sich verwählen;to dial a wrong number
zurzeit;at the moment, currently
belegt;busy, engaged (line)
auflegen;to hang up
die Störung, -en;disturbance, fault, interference
Keine Ursache!;No problem! Don't mention it!
zuständig sein;to be responsible for
der Stand, -¨e;stand, stall; status
die Autoanmeldung, -en;car registration
das Gewerbeamt, -¨er;trade office, business registration office
die Stadtverwaltung, -en;city administration
der Verkehrsverbund, -¨e;public transport association (regional)
die Stadtwerke, Pl.;municipal utilities
die Monatskarte, -n;monthly ticket (for transport)
die Strafe, -n;fine, penalty
die Abrechnung, -en;settlement, billing, statement
ausziehen;to move out; to undress
