German;English
obwohl;although / even though
offen;open / open-minded / frank
Öffentlichkeit, die, Sg.;public / general public
Öffnungszeiten, Pl.;opening hours
Öl, das, -e;oil
Ölstand, der, Sg.;oil level
online sein;to be online
Online-Anbieter, der, -;online provider
Online-Bewerbung, die, -en;online application
Online-Chat, der, -s;online chat
Online-Geschäft, das, -e;online business
Online-Kauf, der, “-e;online purchase
Online-Shop, der, -s;online shop
Online-Shopping, das, Sg.;online shopping
Online-Ticket, das, -s;online ticket
Operationssaal, der, -säle;operating room
Opposition, die, Sg.;opposition
optimistisch;optimistic
Orkan, der, -e;hurricane / violent storm
