German;English
nehme;I take (present)
nahm;I took (simple past)
habe genommen;I have taken (present perfect)
hatte genommen;I had taken (past perfect)
werde nehmen;I will take (future 1)
werde genommen haben;I will have taken (future perfect)
nimmst;you take (present, singular informal)
nahmst;you took (simple past)
hast genommen;you have taken (present perfect)
hattest genommen;you had taken (past perfect)
wirst nehmen;you will take (future 1)
wirst genommen haben;you will have taken (future perfect)
nimmt;he/she/it takes (present)
nahm;he/she/it took (simple past)
hat genommen;he/she/it has taken (present perfect)
hatte genommen;he/she/it had taken (past perfect)
wird nehmen;he/she/it will take (future 1)
wird genommen haben;he/she/it will have taken (future perfect)
nehmen;we take (present)
nahmen;we took (simple past)
haben genommen;we have taken (present perfect)
hatten genommen;we had taken (past perfect)
werden nehmen;we will take (future 1)
werden genommen haben;we will have taken (future perfect)
nehmt;you take (present, plural informal)
nahmt;you took (simple past)
habt genommen;you have taken (present perfect)
hattet genommen;you had taken (past perfect)
werdet nehmen;you will take (future 1)
werdet genommen haben;you will have taken (future perfect)
nehmen;they / you (formal) take (present)
nahmen;they / you (formal) took (simple past)
haben genommen;they / you (formal) have taken (present perfect)
hatten genommen;they / you (formal) had taken (past perfect)
werden nehmen;they / you (formal) will take (future 1)
werden genommen haben;they / you (formal) will have taken (future perfect)
