German,English
machen.,to do/make.
Mädchen.,girl.
Mai.,May.
Mais.,corn/maize.
mal.,times/once.
Mal.,time/occasion.
malen.,to paint.
man.,one/you (impersonal).
manchmal.,sometimes.
männlich.,male/masculine.
Mantel.,coat.
Markt.,market.
Marmelade.,jam.
März.,March.
maximal.,maximum/at most.
Medikament.,medication.
Meer.,sea/ocean.
mehr.,more.
Mehrfamilienhaus.,apartment building/multi-family house.
meinen.,to mean/think.
meistens.,mostly/usually.
Meldestelle.,registration office.
Mensch.,human/person.
messen.,to measure.
Metzgerej.,(likely typo) butcher shop (Metzgerei).
Miete.,rent.
mieten.,to rent.
Mietshaus.,rental apartment building.
Mietvertrag.,rental contract.
Mikrowelle.,microwave.
Milch.,milk.
Minute.,minute.
mit.,with.
minbringen.,(likely typo) to bring along (mitbringen).
Mitgliedsbeitrag.,membership fee.
mitkommen.,to come along.
mitnehmen Mittag.,(likely incomplete) to take along lunch.
Mittagessen.,lunch.
Mittagspause.,lunch break.
Mitte - (in der Mitte).,middle - (in the middle).
Mittwoch.,Wednesday.
Mittwochnachmittag.,Wednesday afternoon.
Möbel.,furniture.
möchten.,would like to.
modern.,modern.
Modeschmuck.,costume jewelry/fashion jewelry.
mögen.,to like.
Moment.,moment.
Monat.,month.
Monatskarte.,monthly ticket/card.
Montag.,Monday.
morgen.,tomorrow.
Morgen.,morning.
morgens.,in the morning.
Motorrad.,motorcycle.
müde.,tired.
Müll.,garbage/trash.
Müllabfuhr.,garbage collection.
Mülltonne.,garbage bin.
Multimedia-Abteilung.,multimedia department.
Mund.,mouth.
Museumsbesuch.,museum visit.
Musik.,music.
Müsli.,muesli/granola.
müssen.,must/have to.
Mutter.,mother.
Muttersprache.,mother tongue/native language.
