German;English
werde;I become (present)
wurde;I became (simple past)
bin geworden;I have become (present perfect)
war geworden;I had become (past perfect)
werde werden;I will become (future 1)
werde geworden sein;I will have become (future perfect)
wirst;you become (present, singular informal)
wurdest;you became (simple past)
bist geworden;you have become (present perfect)
warst geworden;you had become (past perfect)
wirst werden;you will become (future 1)
wirst geworden sein;you will have become (future perfect)
wird;he/she/it becomes (present)
wurde;he/she/it became (simple past)
ist geworden;he/she/it has become (present perfect)
war geworden;he/she/it had become (past perfect)
wird werden;he/she/it will become (future 1)
wird geworden sein;he/she/it will have become (future perfect)
werden;we become (present)
wurden;we became (simple past)
sind geworden;we have become (present perfect)
waren geworden;we had become (past perfect)
werden werden;we will become (future 1)
werden geworden sein;we will have become (future perfect)
werdet;you become (present, plural informal)
wurdet;you became (simple past)
seid geworden;you have become (present perfect)
wart geworden;you had become (past perfect)
werdet werden;you will become (future 1)
werdet geworden sein;you will have become (future perfect)
werden;they / you (formal) become (present)
wurden;they / you (formal) became (simple past)
sind geworden;they / you (formal) have become (present perfect)
waren geworden;they / you (formal) had become (past perfect)
werden werden;they / you (formal) will become (future 1)
werden geworden sein;they / you (formal) will have become (future perfect)
