German;English
das;who / which (neuter nominative)
Das Kind, das weint, ist müde.;The child who is crying is tired.
dem;to whom / to which (dative masculine/neuter)
Der Mann, dem ich helfe, ist alt.;The man whom I am helping is old.
den;whom / which (masculine accusative)
Der Hund, den du siehst, ist groß.;The dog that you see is big.
der;who / which (masculine nominative)
Der Mann, der dort steht, ist mein Bruder.;The man who is standing there is my brother.
deren;whose / of which (feminine/plural genitive)
Die Frau, deren Auto kaputt ist, wartet.;The woman whose car is broken is waiting.
dessen;whose / of which (masculine/neuter genitive)
Der Mann, dessen Sohn krank ist, arbeitet.;The man whose son is sick is working.
die;who / which (feminine nominative / plural)
Die Frau, die ich meine, ist klug.;The woman whom I mean is smart.
welche;which (feminine/plural nominative)
Die Blume, welche rot ist, riecht gut.;The flower which is red smells good.
welchem;to which (dative masculine/neuter)
Der Freund, welchem ich vertraue, hilft mir.;The friend whom I trust helps me.
welchen;which (masculine accusative)
Den Film, welchen ich sah, mag ich.;The movie which I saw, I like.
welcher;which (masculine nominative - formal)
Der Stuhl, welcher hier steht, ist alt.;The chair which stands here is old.
welches;which (neuter nominative)
Das Buch, welches ich lese, ist spannend.;The book which I am reading is exciting.
