English;German
backpack;der Rucksack, -¨e
bad air, stuffy air;schlechte Luft
bad/terrible;schlimm
band-aid, plaster;das Pflaster, -
bandage, dressing;der Verband, -¨e
bank;die Bank, -en
bank advisor;der Bankberater, -
to bare the upper body;den Oberkörper frei machen
basic knowledge;die Grundkenntnisse, Pl.
to bathe, to swim;baden
batteries;die Batterien, Pl.
beach;der Strand, -¨e
because;weil
beginner;der/die Anfänger/in, -/-nen
the beginning/start, beginnings;der Anfang, -e
beverage machine, drinks dispenser;der Getränkeautomat, -en
bicycle path, bike lane;der Fahrradweg, -e
bill, check;die Rechnung, -en
biology;die Biologie, Sg.
birthday;der Geburtstag, -e
blanket;die Decke, -n
blood values, blood test results;die Blutwerte, Pl.
to bloom, to blossom;blühen
to book;buchen
boredom;die Langeweile, Sg.
bouquet of flowers;der Blumenstrauß, -¨e
box of chocolates;die Schachtel Pralinen
to break down, to break;kaputt gehen
break rule(s);die Pausenregel, -n
breakdown service;der Pannendienst, -e
bridal couple;das Brautpaar, -
bride;die Braut, -¨e
brochure, leaflet;der Prospekt, -e
business account;das Geschäftskonto, -konten
business start-up course;der Existenzgründerkurs, -e
business trip;die Geschäftsreise, -n
busy, engaged (line);belegt
