German;English
ein Röntgenbild machen;to take an X-ray
ein Gespräch über die Schwangerschaft führen;to have a conversation about the pregnancy
mit den Patienten über Probleme sprechen;to speak with patients about problems
die Lunge abhören;to listen to the lungs
gymnastische Übungen machen;to do gymnastic exercises
das Kniegelenk untersuchen;to examine the knee joint
bohren;to drill (dentistry)
ein verletztes Auge untersuchen;to examine an injured eye
einen Termin machen;to make an appointment
die Ohren untersuchen;to examine the ears
den Blutdruck messen;to measure blood pressure
eine Spritze geben;to give an injection
