English;German
labor market, job market;der Arbeitsmarkt, Sg.
laboratory test;die Laboruntersuchung, -en
ladder;die Leiter, -n
lake/sea;See
lamp;Lampe
landlord;Vermieter
landscape/scenery;Landschaft
language;Sprache
language problem;Sprachproblem
language school;Sprachschule
laptop;Laptop
large city/metropolis;Großstadt
last/finally;zuletzt
late;spät
later;später
lawyer, attorney;der Rechtsanwalt, -¨e
learned;haben gelernt
Learning languages;Sprachen lernen
left/on the left;links
leg;Bein
legal advice;die Rechtsberatung, Sg.
legal expenses insurance;die Rechtsschutzversicherung, -en
lesson/class/instruction;Unterricht
Let's see / We'll see;Mal sehen
letter;Brief
letter (alphabet);Buchstabe
Letters;Buchstaben
liability insurance;die Haftpflichtversicherung, -en
library;Bibliothek
license plate;Autokennzeichen
license plates, number plates;Nummernschilder
life;Leben
light;Licht
light blue;hellblau
light/bright;hell
likes, is pleasing to;gefällt
line;Linie
listen up, hey listen;Hört mal
liter;Liter
little space;wenig Platz
little time;wenig Zeit
little, not much;wenig
little/few;wenig
lively, vibrant;lebendig
living room;Wohnzimmer
location;die Lage, -n
location/situation;Lage
lonely;einsam
long;lang
long - I mean the long skirt;lang - Ich meine den langen Rock
long (time) - I've been here for a long time;lange - Ich bin schon lange hier
look (colloquial imperative);Schau mal
looked at, viewed;angeschaut
Looking for an apartment;Eine Wohnung suchen
loud;laut
love;die Liebe, Sg.
love old movies;liebe alte Filme
Lovely weather today.;Schönes Wetter heute.
low-fat;fettarm
luck/happiness;Glück
lunch;Mittagessen
lunch break;Mittagspause
