English;German
nail;der Nagel, -
name;Name
to name/call;nennen
to name/call, names, has named;nennen, nennt, hat genannt
napkin;die Serviette, -n
nationality;Nationalität
the nationality;die Nationalität
Nationality and languages;Nationalität und Sprachen
the nationality, nationalities;die Nationalität,-en
nationality/citizenship;Staatsangehörigkeit
the nationality/citizenship;die Staatsangehörigkeit, -en
the native language, mother tongue;die Muttersprache
natural/of course;natürlich
near the train station;In der Nähe vom Bahnhof
nearby;in der Nähe
neat/orderly;ordentlich
neat/tidy;ordentlich
neck/throat;Hals
the neck/throat;der Hals, -e
need;brauche
to need;brauchen
need (ich brauche);brauche
need passport;brauche Pass
needs help;braucht Hilfe
neighbor;Nachbar
the neighbor (female);die Nachbarin, -nen
the neighbor (male);der Nachbar, -n
neighboring house;Nachbarhouse
The neighbors;Die Nachbarn
nephew;Neffe
never;nie
Never mind! It doesn't matter!;Das macht nichts!
new;neu
new (thing);Neues
new building;Neubau
new buildings;Neubauten
new clothes;neue Kleidung
new here;neu hier
the news (plural);die Nachrichten, Pl
newspaper;Zeitung
the newspaper, newspapers;die Zeitung, -en
the next day;Am nächsten Tag
next Monday;am nächsten Montag
next to;neben
next to/beside;neben
Next week;Nächste Woche
nice;nett
nice/beautiful;schön
niece;Nichte
night;Nacht
night shift;Nachtschicht
nine;neun
NK = utilities, additional costs;NK = die Nebenkosten, Pl.
no;nein
no cola;kein Cola
No idea!;Keine Ahnung!
no longer / not anymore;nicht mehr
no longer, not anymore;nicht mehr
no money;kein Geld
no more time;keine Zeit mehr
no one anymore / no one else;niemand mehr
No problem! Don't mention it!;Keine Ursache!
no time;keine Zeit
no/none;kein, keine
nobody/no one;niemand
non-profit, charitable;gemeinnützig
noodles/pasta;Nudeln
the noodles/pasta;die Nudeln, Pl
normal;normal
normally, usually;normalerweise
north;Norden
the north (singular);der Norden, Sg
northern;nördlich
northwest;Nordwesten
nose;Nase
the nose;die Nase, -n
nose drops;die Nasentropfen, Pl.
not;nicht
not at all;gar nicht
not at all small;gar nicht klein
not bad;nicht schlecht
not beautiful/nice;nicht schön
not by train;nicht mit dem Zug
not expensive;nicht teuer
not gladly, not willingly;nicht gerne
not healthy;nicht gesund
not immediately;nicht sofort
not interesting;nicht interessant
not so expensive;nicht so teuer
not so important;nicht so wichtig
not so often;nicht so oft
not that much time at all;gar nicht so viel Zeit
not to carry heavy things;nicht schwer tragen
not to me either;mir auch nicht
note, slip of paper;Zettel
the note, slip of paper;der Zettel
to note, to pay attention to, to observe;beachten
notebook;Heft
the notebook;das Notizbuch
the notebook, exercise book;das Heft
the notebook, notebooks;das Heft, -e
the notes, slips of paper;die Zettel
nothing going on, very quiet;nichts los
to notice;merken
notice board, bulletin board;das Schwarze Brett
notice, posted advertisement;der Aushang, -¨e
November;November
now;jetzt
now wonderful / now it's wonderful;jetzt wunderbar
number;Nummer
the number;die Zahl
the number (phone/ID number);die Nummer
number/quantity;Anzahl
Numbers up to 20;Zahlen bis 20
Numbers, Numbers, Numbers;Zahlen, Zahlen, Zahlen
the nurse;die Krankenschwester
the nurse (female);die Krankenschwester, -n
the nurse (male/female);der/die Krankenpfleger/in, -/-nen
nutrition, diet;die Ernährung, Sg.
