English;German
a company introduces itself;Eine Firma stellt sich vor
a lecturer reports;Ein Dozent berichtet
a look into the future;Ein Blick in die Zukunft
a modern love story;Eine moderne Liebesgeschichte
a work conflict;Ein Arbeitskonflikt
above all / especially;vor allem
above average;überdurchschnittlich
acceptance / commitment / promise;Zusage, die, -n
accident victim;Unfallopfer, das, -
accidents and their consequences;Unfälle und ihre Folgen
accommodating / courteous / customer-friendly;kulant
accustomed / used to;gewohnt
active / working / employed;tätig
actor / actress;Schauspieler/in, der/die -/-nen
addicted;süchtig
additional / extra / in addition;zusätzlich
administration / management;Verwaltung, die, -en
admission ticket / entry ticket;Eintrittskarte, die, -n
adult education;Erwachsenenbildung, die, Sg.
advertising agency;Werbebüro, das, -s
advice / recommendation;Ratschlag, der, “-e
after / afterwards;nachdem
after-school care / haven / refuge;Hort, der, -e
after-school care building;Hortgebäude, das, -
against / opposed;contra
aging;Altern, das, Sg.
agreement / settlement;Einigung, die, Sg.
agreement / settlement / compromise;Einigung, die, -en
agriculture / farming;Landwirtschaft, die, Sg.
air pollution;Luftverschmutzung, die, Sg.
air traffic;Flugzeugverkehr, der, Sg.
airline;Fluggesellschaft, die, -en
airport employee;Flughafenmitarbeiter/in, der/die, -/-nen
airship;Luftschiff, das, -e
album;Album, das, Alben
already;bereits
although / even though;obwohl
aluminum can;Aluminiumdose, die, -n
always / constantly;stets
amount / sum;Betrag, der, “-e
amusement park / theme park;Freizeitpark, der, -s
an excellent reputation;ein ausgezeichneter Ruf
anger / trouble / annoyance;Ärger, der, Sg.
angry / furious / enraged;wütend
animal and plant species;Tier- und Pflanzenarten, Pl.
announcement / public address;Durchsage, die, -n
annoyed / upset / irritated;verärgert
applicant / candidate;Bewerber/in, der/die, -/-nen
application folder / job application portfolio;Bewerbungsmappe, die -n
application training / job application coaching;Bewerbungstraining, das -s
apprentice / trainee;Lehrling, der, -e
appropriate / suitable / adequate;angemessen
approximately / about;ca. (= circa)
area of responsibility / scope of duties;Aufgabenbereich, der, -e
argument / quarrel / dispute;Streit, der, Pl.: Streitigkeiten
around / surrounding;rund um
around the car;Rund ums Auto
artist manager;Künstlermanager/in,der/die, -/-nen
artistic;künstlerisch
as ... as possible / preferably;möglichst
as / when / than;als (Konjunktion)
as well as / and also;sowie
atmosphere;Atmosphäre, die, Sg.
attachment / enclosure / system;Anlage, die, -n
attachment / enclosure / system / facility;Anlage, die, -n
attention / respect;Achtung, die, Sg.
attitude to life / outlook on life;Lebenseinstellung, die, -en
attractive / appealing;attraktiv
author;Autor/in, der/die, -en/-nen
autobiographical;autobiografisch
automotive industry;Automobilindustrie, die, Sg.
automotive industry (sector);Automobilbranche, die, Sg.
automotive supplier;Automobilzulieferer, der, -
average / mean;durchschnittlich
average salary;Durchschnittsgehalt, das, “-er
award / distinction;Auszeichnung, die, -en
award ceremony;Preisverleihung, die, -en
