German;English
diese;this / these (feminine/plural nominative)
Diese Frau kenne ich.;I know this woman.
diesem;this (dative masculine/neuter)
Ich helfe diesem Mann.;I help this man.
diesen;this (masculine accusative)
Ich sehe diesen Hund.;I see this dog.
dieser;this (masculine nominative)
Dieser Mann ist mein Vater.;This man is my father.
dieses;this (neuter nominative)
Dieses Kind ist süß.;This child is cute.
jene;that / those (feminine/plural nominative)
Jene Blume ist schön.;That flower is beautiful.
jener;that (masculine nominative)
Jener Tag war wichtig.;That day was important.
jenes;that (neuter nominative)
Jenes Haus gehört mir.;That house belongs to me.
solche;such (feminine/plural nominative)
Solche Dinge passieren.;Such things happen.
solcher;such (masculine nominative)
Solcher Unsinn ärgert mich.;Such nonsense annoys me.
solches;such (neuter nominative)
Ich mag solches Wetter nicht.;I don't like such weather.
