English;German
rain gear, wet-weather clothes;die Regensachen, Pl.
rate, tariff;der Tarif, -e
receipt;die Quittung, -en
recruitment consultant, personnel consultant;der/die Personalberater/in, -/-nen
relaxation;die Entspannung, Sg.
relaxing;entspannend
reliable;zuverlässig
renovation;die Renovierung, -en
repair;die Reparatur, -en
report;der Bericht, -e
report card, certificate;das Zeugnis, -se
resident, inhabitant;der/die Bewohner/in, -/-nen
resilient, able to handle stress;belastbar
restaurant, pub, local establishment;das Lokal, -e
result;das Ergebnis, -se
retiree, pensioner;der/die Rentner/in, -/-nen
return flight;der Rückflug, -¨e
romantic;romantisch
room;der Raum, -e
rose;die Rose, -n
