German;English
Wohlstand, der, Sg.;prosperity / wealth / affluence
Freiheit, die, Sg.;freedom / liberty
Wünsche und Wirklichkeit;wishes and reality
Wirklichkeit, die, Sg.;reality / actuality
wünschen (sich);to wish (for) / to desire
Befragung, die, -en;survey / interview / questioning
Befragte, der/die, -n;respondent / interviewee
körperlich fit;physically fit
unbefristet;indefinite / permanent / unlimited
Arbeitsvertrag, der, “-e;employment contract / work agreement
materiell;material / physical / financial
besitzen;to possess / to own
finanziell;financial / financially
Sicherheit, die, -en;security / safety / certainty
Rente, die, -n;pension / retirement benefit
Ehe, die, -n;marriage
Lottogewinn, der;lottery win / jackpot
Wohneigentum, das, Sg.;home ownership / property ownership
gewinnen;to win / to gain
Basketball, der, -“e;basketball
aussuchen;to choose / to select / to pick out
ab und zu;now and then / occasionally / sometimes
ungesund;unhealthy
aufbauen;to build up / to establish / to construct
Vokabel, die, -n;vocabulary word
Geburtstagswünsche;birthday wishes
Geburtstagsgeschenk, das, -e;birthday gift / birthday present
Test, der, -s;test
Ärger, der, Sg.;anger / trouble / annoyance
Geburtstagswunsch, der, “-e;birthday wish
Vertrag, der, “-e;contract / agreement
leisten (sich);to afford / to achieve (oneself)
Verbraucherschutz, der, Sg.;consumer protection
Verbraucherzentrale, die, -n;consumer advice center
Bundesland, das, “-er;federal state / province
Rechtsproblem, das, -en;legal problem
Beratungsstelle, die, -n;counseling center / advice center
Verbraucher/in, der/die, -/-nen;consumer
vertreten;to represent / to act on behalf of
Öffentlichkeit, die, Sg.;public / general public
Einrichtung, die, -en;institution / facility / establishment
Jugend- und Erwachsenenbildung, die, Sg.;youth and adult education
Verbraucherrecht, das, Sg.;consumer law
Entscheidung, die, -en;decision / ruling
Kaufvertrag, der, “-e;purchase contract / sales agreement
Versprechen, das, -;promise
Gewinnspiel, das, -e;competition / sweepstakes / prize draw
Energieabrechnung, die, -en;energy bill / utility statement
Altersvorsorge, die, Sg.;retirement provision / old-age provision
Energie, die, -n;energy
Umwelt, die, Sg.;environment
Mobilität, die, Sg.;mobility
Pauschalreise, die, -n;package holiday / package tour
Reiseveranstalter, der, -;tour operator
beschreiben;to describe
Buchhandlung, die, -en;bookstore
kulant;accommodating / courteous / customer-friendly
zurücknehmen;to take back / to return
Gutschein, der, -e;voucher / gift certificate
reduzieren;to reduce / to lower
Haustürgeschäft, das, -e;door-to-door sale
Telefonanschluss, der, “-e;telephone connection / landline
Umtausch, der, Sg.;exchange / return
Kassenzettel, der, -;receipt
umtauschen;to exchange / to swap
aussuchen;to choose / to select
Differenz, die, -en;difference / discrepancy
