English;German
to gain experience;Erfahrungen machen
to gain weight;zunehmen
to get involved, to commit oneself;sich engagieren
to get to know each other;sich kennenlernen
to get to know/meet;kennenlernen
gift voucher, coupon;der Gutschein, -e
gift, present;das Geschenk, -e
to give (as a gift);schenken
good team player, able to work in a team;teamfähig
grade, mark;die Note, -n
grammar school, high school (academic track);das Gymnasium, Gymnasien
groom;der Bräutigam, -e
guarantee certificate, warranty card;der Garantieschein, -e
guarantee, warranty;die Garantie, Sg.
gymnastics club;der Turnverein, -e
