German;English
Sachen;things, stuff
meistens;mostly, usually
Secondhandläden;second-hand shops, thrift stores
billig;cheap, inexpensive
Kleidung;clothing, clothes
oft originell;often original, often quirky
immer etwas;always something
Neues;new (thing)
brauchen;to need
immer etwas Neues;always something new
Bei uns gibt;with us there is / at our place there is
Flohmarkt;flea market
für;for
Kindersachen;children's things, kids' clothes
Da verkaufe;there I sell
kaufe auch;I also buy
Manchmal;sometimes
auch etwas;also something
Supermarkt;supermarket
außerdem;moreover, besides
wenig Zeit;little time
Deshalb bestelle;that's why I order
ganz schön teuer;pretty expensive
Kaufhäuser;department stores
Boutiquen;boutiques
günstige Angebote;favorable offers, good deals
gute Sachen billig bekommen;to get good things cheaply
