English;German
gainful employment / occupation;Erwerbstätigkeit, die, Sg.
game app;Spiele-App, die, -s
gardening;Gartenarbeit, die, -en
gas pedal / accelerator;Gaspedal, das, -e
gasoline / petrol;Benzin, das, Sg.
gear stick / gearshift;Schalthebel, der, -
generation;Generation, die, -en
geothermal energy;Erdwärme, die, Sg.
German federal parliament;Bundestag, der
goal / target / objective;Ziel, das, -e
goat;Ziege, die, -n
golf;Golf, das, Sg.
goods / merchandise / product;Ware, die, -n
governing party / ruling party;Regierungspartei, die, -en
government;Regierung, die, -en
green space / park;Grünanlage, die, -n
gross;brutto
gross salary;Bruttogehalt, das, “-er
group tour / group travel;Gruppenreise, die, -n
