German;English
verändern;to change / to alter / to transform
Veranstaltungsort, der, -e;event location / venue
verantwortlich;responsible / in charge
Verantwortung, die, Sg.;responsibility
verärgert;annoyed / upset / irritated
verbessern (sich);to improve / to better (oneself)
Verbraucher/in, der/die, -/-nen;consumer
Verbraucherinteresse, das, -n;consumer interest
Verbraucherrecht, das, Sg.;consumer law
Verbraucherschutz, der, Sg.;consumer protection
Verbraucherthema, das, -themen;consumer topic
Verbraucherzentrale, die, -n;consumer advice center
verdecken;to cover / to conceal / to hide
Verdienst, der, -e;earnings / wage / income
Verfassung, die, -en;constitution
Verfügung, die, (hier: zur Verfügung stehen);disposal (here: to be available)
Vergangenheit, die, Sg.;past
Vergleich, der, -e (hier: im Vergleich zu);comparison (here: in comparison to)
Verhältnis, das, -se;relationship / affair / ratio
Verhandlung, die, -en;negotiation / hearing
verhindern;to prevent / to avoid
Verkauf, der, “-e;sale
Verkaufsabteilung, die, -en;sales department
Verkehrsbetrieb, der, -e;transport company / transit authority
Verkehrschaos, das, Sg.;traffic chaos / gridlock
Verkehrsexperte/-expertin, der/die, -n/-nen;traffic expert
Verkehrskontrolle, die, -n;traffic control / police check
Verkehrspolitik, die, Sg.;transport policy / traffic policy
Verkehrsunfall, der, “-e;traffic accident
Verletzte, der/die, -n;injured person / casualty
Verletzung, die, -en;injury / wound
vernachlässigen;to neglect / to ignore
veröffentlichen;to publish / to release
Verpackungsmüll, der, Sg.;packaging waste
verschmutzen;to pollute / to contaminate
Verschmutzung, die, -en;pollution / contamination
verschwenden;to waste / to squander
verschwinden;to disappear / to vanish
Versicherte, der/die, -n;insured person
versinken;to sink / to be submerged / to be absorbed
versorgen;to supply / to provide / to care for
Versprechen, das, -;promise
versuchen;to try / to attempt
Vertrag, der, “-e;contract / agreement
vertreten;to represent / to act on behalf of
Vertreter/in, der/die, -/-nen;representative / deputy
Vertriebsbüro, das, -s;sales office / distribution office
verursachen;to cause / to trigger
verwalten;to manage / to administer
Verwaltung, die, -en;administration / management
verwitwet;widowed
Video, das, -s;video
Videoportal, das, -e;video portal
vielfältig;diverse / varied / multifaceted
vierwöchig;four-week
Virus, das, Viren;virus
Vogel, der, “-;bird
Vokabel, die, -n;vocabulary word
Volk, das, “-er;people / nation
Vollkaskoversicherung, die, -en;fully comprehensive insurance
vollständig;complete / full / entire
Vorbereitung, die, -en;preparation
Vorbeugung, die, -en;prevention
Vorgespräch, das, -e;preliminary discussion / initial consultation
vornehmen (sich);to intend / to plan / to undertake
vorschreiben;to prescribe / to dictate / to require
vorsichtig;careful / cautious
Vorsitzende, der/die, -n;chairperson / chairman / chairwoman
Vorsorge, die, Sg.;precaution / prevention / check-up
vorstellen (sich);to imagine / to introduce (oneself)
vorziehen;to prefer / to favor / to advance
