English;German
A4 paper;das A4-Papier, Sg.
ability, capability;die Fähigkeit, -en
above all, especially;vor allem
absolutely sure;ganz sicher
absolutely/definitely;unbedingt
accommodation;die Unterkunft, -e
account;das Konto, Konten
account fee;die Kontogebühr, -en
accounting, accounts department;die Buchhaltung, -en
acquaintance;der/die Bekannte, -en
active;aktiv
activity, job duties;die Tätigkeit, -en
actually/really;eigentlich
the address book, address books;das Adressbuch, -er
to address formally (use "Sie");siezen
to address informally (use "du");duzen
to admit, to concede;einräumen
adult;der/die Erwachsene, -n
advanced learner, intermediate;der/die Fortgeschrittene, -n/-n
advantage;der Vorteil, -e
the advertisement/commercial, advertisements;die Werbung, -en
to advocate for, to campaign for;sich einsetzen für
against it/on the other hand;dagegen
All about the Internet;(A) Rund ums Internet
All the best!;Alles Gute!
allotment garden association;der Kleingartenverein, -e
anniversary (often a milestone);das Jubiläum, Jubiläen
annoyed/irritated;genervt
to apologize;sich entschuldigen
the app, apps;die App, -S
appetizer, starter;die Vorspeise, -n
application;die Bewerbung, -en
application documents;die Bewerbungsunterlagen, Pl.
application photo;das Bewerbungsfoto, -s
to apply (for);sich bewerben (um)
to apply for, to request;beantragen
apprenticeship position, training place;der Ausbildungsplatz, -¨e
the architect (male/female);der/die Architekt/in,-en/-nen
to argue;sich streiten
to arrange to meet, to make a date;sich verabreden
to arrange, to schedule (an appointment);vereinbaren
art;die Kunst, Sg.
as: He works as an educator.;als: Er arbeitet als Erzieher.
to ask a question;eine Frage stellen
at any time, anytime;jederzeit
at least;mindestens
at the moment, currently;zurzeit
at three years old;mit drei Jahren
to attach;anhängen
the attachment,;der Anhang,
to audition/speak beforehand;vorsprechen
automotive mechatronics technician;der/die Kfz-Mechatroniker/in, -/-nen
the average (singular);der Durchschnitt, Sg.
to avoid;vermeiden
to be afraid/have fear;Angst haben
to be annoyed (about), to get angry (about);sich ärgern (über)
