German;English
Sänger/in, der/die, -/-nen;singer
scannen;to scan
schädlich;harmful / damaging
Schadstoff, der, -e;pollutant / harmful substance
Schadstoffsammlung, die, -en;hazardous waste collection
Schaf, das, -e;sheep
Schalthebel, der, -;gear stick / gearshift
Schatz, der, (hier: Mein Schatz);treasure / darling (here: my darling)
schauen;to look / to watch
Schauspieler/in, der/die, -/-nen;actor / actress
Scheibenwischer, der, -;windshield wiper / wiper
Scheibenwischwasser, das, Sg.;windshield washer fluid
Scheidung, die, -en;divorce / separation
scheinen (hier: Mir scheint, ...);to seem / to appear (here: It seems to me ...)
Scheinwerfer, der, -;headlight
Schienenersatzverkehr, der, Sg.;rail replacement service
Schlaf, der, Sg.;sleep
schließlich;finally / eventually / after all
Schließung, die, -en;closure / shutdown
Schluss, der, (hier: zum Schluss);end / conclusion (here: finally / in conclusion)
Schmerz, der, -en;pain / ache
Schnellverbindung, die, -en;fast connection / rapid transit link
Schreibbüro, das, -s;typing office / writing service
Schritt, der, -e;step / stride
Schufa-Auskunft, die, “-e;credit rating information (Schufa report)
Schulden, Pl.;debts
Schulklasse, die, -n;school class
schützen;to protect
Schwager, der, -;brother-in-law
Schwägerin, die, -nen;sister-in-law
schwanger;pregnant
Schwangerschaftsgymnastik, die, -;pregnancy exercise / prenatal gymnastics
Schwein, das, -e;pig
schwerfallen;to be difficult (for someone)
Schwiegereltern, Pl.;parents-in-law
Schwiegermutter, die, “-;mother-in-law
Schwiegervater, der, “-;father-in-law
Seele, die, -n;soul
seit, seitdem;since / ever since
Seitenspiegel, der, -;side mirror
selbstständig;self-employed / independent
Selbstständige, der/die, -n;self-employed person
selbstverständlich;of course / self-evident / natural
Selfie, das, -s;selfie
Senf, der, Sg.;mustard
Senfrezept, das, -e;mustard recipe
Senfsalon, der, -s;mustard salon
Senior/in, der/die, -en/-nen;senior / elderly person
senken;to lower / to reduce
Sicherheit, die, -en;security / safety / certainty
Sicherheitsgurt, der, -e;seatbelt / safety belt
sichern;to secure / to ensure / to guarantee
Sitz, der, -e;seat / headquarters
Sitzung, die, -en;meeting / session
Skifahren, das, Sg.;skiing
skypen;to Skype / to video call
Smartphone-Vertrag, der, “-e;smartphone contract
sogenannt;so-called
Solaranlage, die, -n;solar system / solar installation
Solarenergie, die, Sg.;solar energy
Solidarzuschlag, der, “-e;solidarity surcharge
sondern;but rather / instead
sonst;otherwise / else
Sorgfalt, die, Sg.;care / diligence / thoroughness
sortieren;to sort
sowie;as well as / and also
sowohl ... als auch;both ... and
sozialdemokratisch;social democratic
sozialistisch;socialist
Sozialleistung, die, -en;social benefit / welfare benefit
Sozialplan, der, “-e;social plan (redundancy agreement)
Sozialversicherung, die, -en;social security
sparsam;economical / frugal / thrifty
sperren;to block / to lock / to disable
Sperrmüll, der, Sg.;bulky waste / bulky trash
Spiele-App, die, -s;game app
Spielwaren, Pl.;toys / playthings
Spinat, der, -e;spinach
Sportanlage, die, -n;sports facility
Sportlehrer/in, der/die, -/-nen;sports teacher / PE teacher
Staat, der, -en;state / country
Stadtbibliothek, die, -en;city library / public library
Städtereise, die, -n;city trip
städtisch;urban / municipal
Stadtrat/-rätin, der/die, “-e/-nen;city councilor
Stall, der, “-e;stable / barn
stammen;to originate / to come from
ständig;constant / permanent / continuous
Standort, der, -e;location / site
Stärke, die, -n;strength
stärken;to strengthen
Start, der, -s;start / beginning / launch
staubsaugen;to vacuum
staunen;to marvel / to be amazed / to wonder
steigen;to rise / to climb / to increase
stellen (hier: die Frage stellen);to put / to place / to set (here: to ask the question)
Stellenanzeige, die, -n;job advertisement / job posting
sterben;to die
stets;always / constantly
Steuer, die, -n;tax
Steuerklasse, die, -n;tax class
Stil, der, -e;style
Stimme, die, -n;vote / voice
Stimmverluste, Pl.;vote losses / loss of votes
stolz;proud
Strandurlaub, der, -e;beach vacation / seaside holiday
Straßenverkehr, der, Sg.;road traffic
Strecke, die, -n;distance / route / stretch
streicheln;to pet / to stroke
streichen;to cancel / to delete / to paint
Streik, der, -s;strike
streiken;to strike / to go on strike
Streit, der, Streitigkeiten;argument / quarrel / dispute
Strom, der, Sg.;electricity / current / stream
Stromerzeugung, die, Sg.;electricity generation / power production
Stromrechnung, die, -en;electricity bill
Stufe, die, -n;level / stage / step
Stummfilm, der, -e;silent film
stürzen;to fall / to plunge / to rush
Suche, die, Sg.;search
süchtig;addicted
Summe, die, -n;sum / amount / total
Symptom, das, -e;symptom
System, das, -e;system
systematisch;systematic
