German;English
beginnen;to begin / to start
behalten;to keep / to retain / to remember
beitragen;to contribute
bekommen;to get / to receive / to obtain
beraten;to advise / to counsel / to consult
beschließen;to decide / to resolve / to conclude
beschreiben;to describe
besitzen;to possess / to own
besprechen;to discuss / to talk over
bestehen;to exist / to consist / to pass (exam)
betragen;to amount to / to total / to behave
bewerben (sich);to apply (for) / to promote (oneself)
bieten;to offer / to provide / to bid
bitten;to ask / to request / to beg
bleiben;to stay / to remain
bringen;to bring / to take
