English;German
to wait;warten
to wait (for);warten (auf)
to wait a long time;lange warten
wait still / also waits;Wartet noch
waiter;Kellner
waiting number, ticket number (from a queue system);Wartenummer
the waiting number/ticket;die Wartenummer, -n
waiting numbers, queue numbers;Wartenummern
waiting room;Warteraum
the waiting room;der Warteraum, -e
to wake up;aufwachen
to walk around;rumlaufen
to walk on foot;zu Fuß laufen
to walk, to run;laufen
to walk/run in the street;Straße laufen
wall;Wand
wallet, purse;die Brieftasche, -n
the wallet, purse;das Portemonnaie
wallpaper;die Tapete, -n
to wallpaper;tapezieren
waltz;Walzer
to want;wollen
wardrobe, cabinet;Schrank
the wardrobe/cabinet is not bad;der Schrank ist nicht schlecht
warm;warm
warm again;wieder warm
warm rent (rent including utilities);Warmmiete
the warm sun;die warme Sonne
warmth;die Wärme, Sg.
was born;bin geboren
was wonderful, beautiful;war wunderschön
washbasin/sink;Waschbecken
washing machine;Waschmaschine
the washing machine, washing machines;die Waschmaschine, -n
to watch a film;einen Film sehen
to watch television;fernsehen
to watch TV;fernsehen
to watch TV, I have watched TV;fernsehen, ich habe ferngesehen
to watch TV, watches TV, has watched TV;fernsehen, sieht fern, hat ferngesehen
water;Wasser
the water;das Wasser, Sg
to water flowers;Blumen gießen
water maze/labyrinth;Wasserlabyrinth
water sports;Wassersport
to water/pour;gießen
to water/pour, waters, has watered;gießen, gießt, hat gegossen
waterway;Wasserweg
way to school, school route;der Schulweg, -e
The way to work;Der Weg zur Arbeit
way/path;Weg
the way/path;der Weg -e
we are back home;wir sind wieder zu Hause
We are just looking;Wir schauen nur
We are lucky with the weather today.;Wir haben heute Glück mit dem Wetter.
We don't live far from here indeed;Wir wohnen ja nicht weit von hier
We need a microwave;Wir brauchen eine Mikrowelle
We need money;Wir brauchen Geld
We still have time;Wir haben noch Zeit
we still need a lot;wir brauchen noch sehr viel
weak;schwach
to wear, to carry;tragen
to wear/carry;tragen
to wear/carry, wears, has worn;tragen, trägt, hat getragen
weather;Wetter
the weather (singular);das Wetter, Sg
weather bad;Wetter schlecht
weather forecast;Wettervorhersage
weather map;Wetterkarte
the weather report, weather reports;der Wetterbericht, -e
weather wet-cold and windy;Wetter nasskalt und windig
website;die Webseite, -n
the website, websites;die Internetseite, -n
wedding;Hochzeit
the wedding;die Hochzeit, -en
wedding anniversary;der Hochzeitstag, -e
wedding appointment, date for getting married;Heiratstermin
wedding cake;die Hochzeitstorte, -n
wedding celebration;die Hochzeitsfeier, -n
wedding dress;das Brautkleid, -er
Wednesday;Mittwoch
Wednesday afternoon;Mittwochnachmittag
week;Woche
the week;die Woche
the week, weeks;die Woche, -n
weekend;das Wochenende
the weekend;das Wochenende
the weekend, weekends;das Wochenende, -n
welcome;willkommen
well-behaved, good;brav
well/oh well;na ja
went;sind gegangen
went for a walk;sind spazieren gegangen
went on an excursion / outing;haben Ausflug gemacht
were big / were grown up;waren groß
were outside a lot;waren viel draußen
west;Westen
the west (singular);der Westen, Sg
wet;nass
the wet-cold weather;das nasskalte Wetter
What a ...;Was für ein/eine/einen ..
What are you doing? (informal);Was machst du?
What can I do for you?;Was kann ich für Sie tun
What do you need for ...?;Was braucht man für ...?
What does Mrs. Costa do on Saturday?;Was macht Frau Costa am Samstag?
What does she say?;Was sagt sie
what does that mean;was bedeutet das
What happened?;Was ist passiert?
What is your address?;Wie ist Ihre Adresse?
What is your name (formal);Wie heißen Sie
What is your name? (formal);Wie heißen Sie?
What is your profession?;(Was sind Sie von Beruf?
What is your profession? (formal);Was sind Sie von Beruf?
What time is it?;Wie spät Ist es?
what's wrong / what's the matter;was ist los
What's wrong with you? (formal);Was fehlt Ihnen?
when;wann
When does (it) begin;Wann beginnt
When does (it) start;Wann fängt
When does (it) stop;Wann hört
When does the festival begin?;Wann beginnt das Fest
when exactly;wann genau
when I am content / satisfied;wenn ich zufrieden bin
When is the emergency doctor coming;Wann kommt der Notarzt
where;wo
Where are you from? (formal);Woher kommen Sie?
where is ... located?;wo liegt ...?
Where is the accident;Wo ist der Unfall
where to;wohin
whether, if;ob
which;welcher, -s, -e
which (masculine nominative);Welcher
which shirt;Welches Hemd
white;weiß
white bread;Weißbrot
white shelf;weiße Regal
who;wer
Who is that?;Wer ist das?
whole hour;ganze Stunde
the whole week;ganze Woche
whole/quite;ganz
whom (dative of wer);wem
to whom does ... belong?;wem gehört..?
why;warum
wife;die Ehefrau, -en
wind;Wind
the wind;der Wind, -e
window;Fenster
the window;das Fenster
the window, windows;das Fenster -
windy;windig
wine;Wein
the wine, wines;der Wein, -e
winter;Winter
the winter;der Winter
winter coat;Wintermantel
winter jacket;Winterjacke
winter sale;Winterschlussverkauf
winter shoes, winter boots;Winterschuhe
wish;Wunsch
wish, desire;Wunsch
with;mit
with a view;mit Aussicht
with good transport links, conveniently located for transport;verkehrsgünstig
with it, so that, therefore;damit
with the weather;mit dem Wetter
with us there is / at our place there is;Bei uns gibt
to withdraw (cash);abheben
without;ohne
woman/Mrs;Frau
women's coat;Damenmantel
women's group;die Frauengruppe, -n
women's soccer team;Frauenmannschaft Fußball
wonderful;wunderbar
the wonderful vacation;der wunderschöne Urlaub
wonderfully beautiful, gorgeous;wunderschön
word;Wort
the word, words;das Wort, -er
