English;German
to be slim;schlank sein
sad;traurig
salary;das Gehalt, -¨er
sand;der Sand, Sg.
satisfied, content;zufrieden
to save/store;speichern
school days, school time;die Schulzeit, Sg.
school education;die Schulbildung
school leaving qualification;der Schulabschluss, -e
school year;das Schuljahr, -e
schoolyard;der Schulhof, -e
scissors;die Schere, -n
seat reservation;die Platzreservierung, -en
secondary modern school (German school type);die Hauptschule, -n
secondary modern school leaving certificate;der Hauptschulabschluss, -e
to select/choose;auswählen
to send;senden
to send off/submit;abschicken
sensible, reasonable;vernünftig
sensitive;empfindlich
the sentence, sentences;der Satz, -e
to separate, to break up;sich trennen
to separate, to divide;trennen
the series, series;die Serie, -n
serious;ernst
settlement, billing, statement;die Abrechnung, -en
to sew;nähen
to share;teilen
shaver, razor;der Rasierapparat, -e
shift work;die Schichtarbeit, -en
shipping company, freight forwarding;die Spedition, -en
shopping street;die Einkaufsstraße, -n
to show;zeigen
side effects;die Nebenwirkungen, Pl.
sleeping bag;der Schlafsack, -¨e
small, big;klein, groß
to smile;lächeln
social;sozial
social networks;soziale Netzwerke
the software (singular);die Software, Sg
solidarity;die Solidarität, Sg.
song;das Lied, -er
to speak (about);sprechen (über)
special needs school;die Förderschule, -n
to spend (time);verbringen
to spend together;gemeinsam verbringen
spoon;der Löffel, -
sports club;der Sportverein, -e
to stand out, to be noticeable;auffallen
stand, stall;der Stand, -¨e
to stand, to be standing;stehen
standing order, automatic payment;der Dauerauftrag, -e
stay, sojourn;der Aufenthalt, -e
to stick together through thick and thin;durch dick und dünn gehen
to stick together, to hold together;zusammenhalten
stomach ache;die Magenschmerzen, Pl.
storm;der Sturm, -e
the story/history (singular);die Geschichte, Sg.
strange, foreign;fremd
strict;streng
strong;stark
the studies/study program (singular);das Studium, Sg.
subject, field;das Fach, -er
suburb;der Vorort, -e
success;der Erfolg, -e
successor tenant, replacement tenant;der/die Nachmieter/in,-/-nen
suddenly;plötzlich
to suggest;vorschlagen
suitable for children;für Kinder geeignet
suitcase;der Koffer, -
sun umbrella, parasol;der Sonnenschirm, -e
sunglasses;die Sonnenbrille, -n
sunscreen;die Sonnencreme, -s
support, promotion, funding;die Förderung, -en
sure, certain;sicher
surprise;die Überraschung, -en
sweets, candy;die Süßigkeiten, Pl.
swimming lessons;der Schwimmunterricht, Sg.
swimwear, bathing things;die Badesachen, Pl.
switchboard, telephone exchange;die Telefonzentrale, -n
