German;English
Gabel, die, -n;fork
Garantie, die, -n;guarantee, warranty
Gästezimmer, das, -;guest room
Gastgeber/in, der/die, -/-nen;host
Gebrauchtwagen, der, -;used car, second-hand car
Geburt, die, -en;birth
Geburtshaus, das, -¨er;birth house; birthing center
Geburtstag, der, -e;birthday
Gedanke, der, -n;thought
Gedicht, das, -e;poem
geduldig;patient
geeignet;suitable, appropriate
gegen;against
gegenseitig;mutual, reciprocal
Gehalt, das, -¨er;salary
Geheimnummer, die, -n;PIN, secret number
gemeinnützig;non-profit, charitable
gemeinsam;together, joint
genießen;to enjoy
Gerät, das, -e;device, appliance
Gerechtigkeit, die, Sg.;justice
Gericht, das, -e;dish, meal; court
Gern geschehen!;You're welcome! (response to thanks)
Gesamtschule, die, -n;comprehensive school
Gesangsverein, der, -e;singing club, choir
Geschäftskonto, das, -konten;business account
Geschäftsreise, die, -n;business trip
Geschenk, das, -e;gift, present
Geschichte, die, Sg. (1);story, history (1)
Geschichte, die, Sg. (2): Schulfach;history (2): school subject
Geschirr, das, Sg.;dishes, crockery
geschlossen;closed
Gesprächsthema, das, -themen;topic of conversation
gesundheitlich;health-related
Gesundheits-Check, der, -s;health check-up
Gesundheitspfleger/in, der/die, -/-nen;healthcare assistant
Gesundheitsuntersuchung, die, -en;health examination
Getränkeautomat, der, -en;beverage machine, drinks dispenser
Getreideprodukt, das, -e;cereal product, grain product
getrennt;separate, separated
Gewerbeamt, das, -¨er;trade office, business registration office
Gewitter, das, -;thunderstorm
gewohnt sein;to be used to, accustomed to
Girokonto, das, -konten;checking account, current account
Gitarre, die, -n;guitar
gleichzeitig;simultaneously, at the same time
glücklich;happy
Glückwunsch, der, -¨e;congratulation
Glückwunschkarte, die, -n;greeting card, congratulations card
Grammatik, die, -en;grammar
Grammatikregel die, -n;grammar rule
Grund, der, -¨e;reason; ground
gründen;to found, to establish
Grundkenntnisse, Pl.;basic knowledge
Grundregel, die, -n;basic rule
Grundschule, die, -n;primary school, elementary school
Gruppe, die, -n;group
Gruppenarbeit, die, -en;group work
Gutschein, der, -e;gift voucher, coupon
Gymnasium, das, Gymnasien;grammar school, high school (academic track)
