English;German
hammer;der Hammer, -
to hang up;auflegen
to hang, to be hanging;hängen
happy;glücklich
Happy Easter!;Frohe Ostern!
Happy New Year!;Prosit Neujahr!
hardworking, diligent;fleißig
to harm, to damage;schaden
to have (something done), to let;lassen
to have a long breakfast;lange frühstücken
to have courage/be brave;Mut haben
to have good/bad memories;gute/schlechte Erinnerungen haben
to have peace and quiet;Ruhe haben
to have worries, to be worried;Sorgen haben
the headphone(s), headphones;der Kopfhörer, -
health check-up;der Gesundheits-Check, -s
health insurance;die Krankenversicherung, -en
hectic;hektisch
hectic, cozy/comfortable;hektisch, gemütlich
to help each other;sich gegenseitig helfen
the help/assistance, helps;die Hilfe, -n
high;hoch
the high school diploma/A-levels (singular);das Abitur, Sg.
hike, walk;die Wanderung, -en
history;die Geschichte, Sg.
holiday photo;das Urlaubsfoto, -s
holidays, vacation;die Ferien, Pl
home medicine cabinet;die Hausapotheke, -n
homework help, tutoring;die Hausaufgabenhilfe, -n
honest;ehrlich
to hope;hoffen
hopefully;hoffentlich
host;der/die Gastgeber/in, -/-nen
hourly wage;der Stundenlohn, -¨e
household contents insurance;die Hausratversicherung, -en
How did you manage/achieve that?;(B) Wie haben Sie das geschafft?
however, yes (as contradiction), after all;doch
humor;der Humor, Sg.
husband;der Ehemann, -¨er
