English;German
fact;Fakt, der, -en
factor;Faktor, der, -en
factory / plant;Fabrik, die -en
family celebration;Familienfeier, die, -n
family model;Familienmodell, das, -e
family situation;Familiensituation, die, -en
fan;Fan, der, -s
fare;Fahrpreis, der, -e
farewell / departure;Abschied, der, -e
farewell gift;Abschiedsgeschenk, das, -e
fast connection / rapid transit link;Schnellverbindung, die, -en
fate / destiny;Schicksal, das, Sg.
father-in-law;Schwiegervater, der, “-
Federal Assembly (joint parliamentary body);Bundesversammlung, die, Sg.
Federal Chancellery;Bundeskanzleramt, das, Sg.
Federal Chancellor;Bundeskanzler/in, der/die,-/-nen
Federal Constitutional Court;Bundesverfassungsgericht, das, Sg.
Federal Council (upper house);Bundesrat, der, Sg.
federal government;Bundesregierung, die, -en
Federal President;Bundespräsident/in, der/die,-en/-nen
federal state / province;Bundesland, das, “-er
feeling / emotion / sensation;Gefühl, das, -e
field;Feld, das, -er
file;Datei, die -en
finally / eventually / after all;schließlich
finally / in conclusion;zum Schluss
finances;Finanzen, Pl.
financial / financially;finanziell
financial advisor;Finanzberater/in, der/die,-/-nen
financing / funding;Finanzierung, die, -en
fire / blaze;Brand, der, “-e
first aid kit;Erste-Hilfe-Kasten, der, *-
first of all / initially / for now;zunächst
fisherman / fisher;Fischer/in, der/die, -/-nen
flag;Flagge, die, -n
flight cancellation;Flugausfall, der, “-e
flood / high water;Hochwasser, das, -
flu illness / influenza;Grippeerkrankung, die, -en
flu season;Grippesaison, die, Sg.
flu shot / influenza vaccination;Grippeschutzimpfung, die, -en
flu vaccination;Grippeimpfung, die, -en
flyer / leaflet;Flyer, der, -
flying boat / airship;Flugschiff, das, -e
following / next;folgende
for years / years-long;jahrelang
forecast / prediction;Prognose, die, -n
foreigners' advisory council;Ausländerbeirat, der
form / shape / type;Form, die, -en
form of energy;Energieform, die, Sg.
formal style;der formelle Stil
formatting;Formatierung, die, -en
former / ex-;ehemalig
fossil;fossil
founder / entrepreneur (startup);Existenzgründer
four-week;vierwöchig
freedom / liberty;Freiheit, die, Sg.
fresh / new / cool;frisch
friendliness / kindness;Freundlichkeit, die, Sg.
front door / house door;Haustür, die, -en
full-time employment;Vollerwerbstätigkeit, die, Sg.
fully comprehensive insurance;Vollkaskoversicherung, die, -en
function;Funktion, die, -en
funding program / support scheme;Förderprogramm, das, -e
further development / advancement;Weiterentwicklung, die, -en
further education offer / continuing education program;Weiterbildungsangebot, das, -e
furthermore / besides / in addition;außerdem
furthermore / still / continue to;weiterhin
future;Zukunft, die, Sg.
