German;English
abbiegen, biegt ab, ist abgebogen;to turn off, turns off, has turned off
abfahren, fährt ab, ist abgefahren;to depart, departs, has departed
abgeben, gibt ab, hat abgegeben;to hand in, hands in, has handed in
anerkennen, erkennt an, hat anerkannt;to acknowledge, acknowledges, has acknowledged
anfangen, fängt an, hat angefangen;to begin, begins, has begun
anhalten, hält an, hat angehalten;to stop, stops, has stopped
ankommen, kommt an, ist angekommen;to arrive, arrives, has arrived
annehmen, nimmt an, hat angenommen;to accept, accepts, has accepted
anrufen, ruft an, hat angerufen;to call, calls, has called
anziehen, zieht an, hat angezogen;to put on/get dressed, puts on, has put on
aufstehen, steht auf, ist aufgestanden;to get up, gets up, has gotten up
ausfallen, fällt aus, ist ausgefallen;to fail/be canceled, fails, has failed
ausgehen, geht aus, ist ausgegangen;to go out, goes out, has gone out
aussehen, sieht aus, hat ausgesehen;to look/appear, looks, has looked
beginnen, beginnt, hat begonnen;to begin, begins, has begun
bekommen, bekommt, hat bekommen;to get/receive, gets, has gotten
beraten, berät, hat beraten;to advise/consult, advises, has advised
bleiben, bleibt, ist geblieben;to stay/remain, stays, has stayed
bringen, bringt, hat gebracht;to bring, brings, has brought
einladen, lädt ein, hat eingeladen;to invite, invites, has invited
einschlafen, schläft ein, ist eingeschlafen;to fall asleep, falls asleep, has fallen asleep
eintragen, trägt ein, hat eingetragen;to enter/register, enters, has entered
essen, isst, hat gegessen;to eat, eats, has eaten
fahren, fährt, ist gefahren;to drive/travel, drives, has driven
fernsehen, sieht fern, hat ferngesehen;to watch TV, watches TV, has watched TV
finden, findet, hat gefunden;to find, finds, has found
fliegen, fliegt, ist geflogen;to fly, flies, has flown
geben, gibt, hat gegeben;to give, gives, has given
gefallen, gefällt, hat gefallen;to please/like, pleases, has pleased
gehen, geht, ist gegangen;to go/walk, goes, has gone
gießen, gießt, hat gegossen;to water/pour, waters, has watered
haben, hat, hat gehabt;to have, has, has had
heißen, heißt, hat geheißen;to be called, is called, has been called
helfen, hilft, hat geholfen;to help, helps, has helped
herunterladen, lädt herunter, hat heruntergeladen;to download, downloads, has downloaded
kennen, kennt, hat gekannt;to know (be acquainted with), knows, has known
kommen, kommt, ist gekommen;to come, comes, has come
laufen, läuft, ist gelaufen;to run/walk, runs, has run
leidtun, tut leid, hat leidgetan;to be sorry, is sorry, has been sorry
lesen, liest, hat gelesen;to read, reads, has read
liegen, liegt, hat gelegen;to lie/be located, lies, has lain
losfahren, fährt los, ist losgefahren;to depart/set off, departs, has departed
messen, misst, hat gemessen;to measure, measures, has measured
mitbringen, bringt mit, hat mitgebracht;to bring along, brings along, has brought along
mitkommen, kommt mit, ist mitgekommen;to come along, comes along, has come along
mitnehmen, nimmt mit, hat mitgenommen;to take along, takes along, has taken along
mögen, mag, hat gemocht;to like, likes, has liked
nachsehen, sieht nach, hat nachgesehen;to check/look up, checks, has checked
nehmen, nimmt, hat genommen;to take, takes, has taken
nennen, nennt, hat genannt;to name/call, names, has named
reinkommen, kommt rein, ist reingekommen;to come in, comes in, has come in
riechen, riecht, hat gerochen;to smell, smells, has smelled
scheinen, scheint, hat geschienen;to seem/shine, seems, has seemed
schlafen, schläft, hat geschlafen;to sleep, sleeps, has slept
schreiben, schreibt, hat geschrieben;to write, writes, has written
schwimmen, schwimmt, ist geschwommen;to swim, swims, has swum
sehen, sieht, hat gesehen;to see, sees, has seen
sein, ist, ist gewesen;to be, is, has been
sitzen, sitzt, hat gesessen;to sit, sits, has sat
sprechen, spricht, hat gesprochen;to speak, speaks, has spoken
stattfinden, findet statt, hat stattgefunden;to take place, takes place, has taken place
stehen, steht, hat gestanden;to stand, stands, has stood
streiten, streitet, hat gestritten;to argue/fight, argues, has argued
tragen, trägt, hat getragen;to wear/carry, wears, has worn
treffen, trifft, hat getroffen;to meet, meets, has met
trinken, trinkt, hat getrunken;to drink, drinks, has drunk
überweisen, überweist, hat überwiesen;to transfer (money), transfers, has transferred
umsteigen, steigt um, ist umgestiegen;to change (transport), changes, has changed
umziehen, zieht um, ist umgezogen;to move (residence), moves, has moved
unterschreiben, unterschreibt, hat unterschrieben;to sign, signs, has signed
vergessen, vergisst, hat vergessen;to forget, forgets, has forgotten
verstehen, versteht, hat verstanden;to understand, understands, has understood
wegfahren, fährt weg, ist weggefahren;to drive away, drives away, has driven away
wehtun, tut weh, hat wehgetan;to hurt/ache, hurts, has hurt
wissen, weiß, hat gewusst;to know (facts), knows, has known
zurückkommen, kommt zurück, ist zurückgekommen;to come back, comes back, has come back
