English;German
Vacation;Urlaub
vacation already over;Urlaub schon zu Ende
vacation apartment;Ferienwohnung
vacation there;dort Urlaub
vacation trip, holiday trip;die Urlaubsreise, -n
vacation, holiday;Urlaub
vacation/holiday;Urlaub
vacuum cleaner;der Staubsauger, -
VAT, value-added tax;Mwst, Mehrwertsteuer
vegetables;das Gemüse
vehicle registration;Kfz-Zulassung
vehicle registration office;Kfz-Zulassungsstelle
veil;der Schleier, -
very;sehr
very hot;ganz heiß
very important;ganz wichtig
very little;sehr wenig
very many pieces of furniture;ganz vielen Möbeln
very pleasant;sehr angenehm
very short;sehr kurz
vicinity (nearby/in the vicinity);Nähe  (in der Nähe)
vicinity, closeness;Nähe
view;Aussicht
village;Dorf
visa;Visum
visas;Visa
visit;Besuch
vitamin;das Vitamin, -e
vocational qualification;der Berufsabschluss, -e
vocational school;die Berufsschule, -n
voluntary, honorary, unpaid;ehrenamtlich
voluntary, willingly;freiwillig
