German;English
geworden;become (past participle of werden – standalone)
Er ist Lehrer geworden.;He has become a teacher.
worden;become / been (past participle of werden – used as auxiliary)
Er ist alt geworden.;He has become old.
würde;would (Konjunktiv II of werden)
Das würde ich nicht tun.;I would not do that.
würden;we would / they would
Wir würden gerne kommen.;We would like to come.
würdest;you would (singular informal)
Was würdest du essen?;What would you eat?
würdet;you would (plural informal)
Ihr würdet es nicht glauben.;You would not believe it.
