English;German
sad;traurig
salary;das Gehalt, -¨er
sand;der Sand, Sg.
satisfied, content;zufrieden
school days, school time;die Schulzeit, Sg.
school education;die Schulbildung
school leaving qualification;der Schulabschluss, -e
school year;das Schuljahr, -e
schoolyard;der Schulhof, -e
scissors;die Schere, -n
seat reservation;die Platzreservierung, -en
secondary modern school (German school type);die Hauptschule, -n
secondary modern school leaving certificate;der Hauptschulabschluss, -e
sensible, reasonable;vernünftig
sensitive;empfindlich
serious;ernst
settlement, billing, statement;die Abrechnung, -en
shaver, razor;der Rasierapparat, -e
shift work;die Schichtarbeit, -en
shipping company, freight forwarding;die Spedition, -en
shopping street;die Einkaufsstraße, -n
side effects;die Nebenwirkungen, Pl.
sleeping bag;der Schlafsack, -¨e
small, big;klein, groß
social;sozial
social networks;soziale Netzwerke
solidarity;die Solidarität, Sg.
song;das Lied, -er
special needs school;die Förderschule, -n
spoon;der Löffel, -
sports club;der Sportverein, -e
stand, stall;der Stand, -¨e
standing order, automatic payment;der Dauerauftrag, -e
stay, sojourn;der Aufenthalt, -e
stomach ache;die Magenschmerzen, Pl.
storm;der Sturm, -e
strange, foreign;fremd
strict;streng
strong;stark
subject, field;das Fach, -er
suburb;der Vorort, -e
success;der Erfolg, -e
successor tenant, replacement tenant;der/die Nachmieter/in,-/-nen
suddenly;plötzlich
suitable for children;für Kinder geeignet
suitcase;der Koffer, -
sun umbrella, parasol;der Sonnenschirm, -e
sunglasses;die Sonnenbrille, -n
sunscreen;die Sonnencreme, -s
support, promotion, funding;die Förderung, -en
sure, certain;sicher
surprise;die Überraschung, -en
sweets, candy;die Süßigkeiten, Pl.
swimming lessons;der Schwimmunterricht, Sg.
swimwear, bathing things;die Badesachen, Pl.
switchboard, telephone exchange;die Telefonzentrale, -n
