German;English
nachsitzen;to do detention
nachsprechen;to repeat (after someone)
Nachbarschaft, die, Sg.;neighborhood
Nachbarschaftshaus, das, -¨er;community center, neighborhood house
Nachhilfe, die, Sg.;tutoring, extra lessons
Nachmieter/in, der/die, -/-nen;successor tenant, replacement tenant
Nachricht, die, -en;message, news
Nachspeise, die, -n;dessert
Nagel, der, -¨;nail
Nähabend, der, -e;sewing evening
nähen;to sew
Nahrungsmittel, das, -;food, foodstuff
Nasentropfen, Pl.;nose drops
Nebenwirkung, die, -en;side effect
nehmen (hier: Platz nehmen);to take (here: to take a seat)
Netzwerk, das, -e;network
Neujahr, das, Sg.;New Year
Neuwagen, der, -;new car
Nichte, die, -n;niece
normal;normal
normalerweise;normally, usually
Not, die, Sg.;emergency, distress
Notarztwagen, der, -;emergency doctor vehicle
Note, die, -n;grade, mark
Notrufsäule, die, -n;emergency telephone (on motorway)
Notrufzentrale, die, -n;emergency call center
nutzen;to use
nützlich;useful
Nutzungsdauer, die, Sg.;useful life, period of use
