English;German
hairdresser;Friseur
half (time);halb
half an hour;halbe Stunde
half past;halb
ham;Schinken
hammer;der Hammer, -
hand;Hand
to hand in;abgeben
to hand in, hands in, has handed in;abgeben, gibt ab, hat abgegeben
to hang up;auflegen
to hang, to be hanging;hängen
to happen;passieren
happened, is happening;passiert
happy;glücklich
Happy Easter!;Frohe Ostern!
Happy New Year!;Prosit Neujahr!
harbor tour;Hafenrundfahrt
harbor tour, port cruise;Hafenrundfahrt
harbor/port;Hafen
hardworking, diligent;fleißig
to harm, to damage;schaden
has also helped me often before;hat mir auch schon oft geholfen
has given / there was/were;hat gegeben
has gone to Spain;ist nach Spanien gegangen
has learned, studied;hat gelernt
has someone come / did someone come;ist jemand gekommen
has spoken / spoke;hat gesprochen
to have;haben
to have (something done), to let;lassen
to have a bit of rain;bisschen Regen geben
to have a long breakfast;lange frühstücken
have a look;schau mal
to have breakfast;frühstücken
to have courage/be brave;Mut haben
have experienced;haben erlebt
to have good/bad memories;gute/schlechte Erinnerungen haben
to have lunch;zu Mittag essen
to have peace and quiet;Ruhe haben
have put on (clothes);haben angezogen
to have right of way;Vorfahrt haben
have tidied everything up / cleaned everything up;haben alles aufgeräumt
to have time;Zeit haben
to have with oneself;dabeihaben
to have worries, to be worried;Sorgen haben
Have you heard? We have new neighbors.;Haben Sie schon gehört? Wir haben neue Nachbarn.
Have you lived here long? (formal);leben Sie schon lange
to have, has, has had;haben, hat, hat gehabt
having a cold;erkältet
he also usually sleeps a bit;schläft er meistens auch ein bisschen
he drives again / he travels again;fährt er wieder
He is too small;Er ist zu klein
he likes that;das mag er gern
He needs;Er braucht
he prefers to have cola;er will lieber Cola
He visits;Er besucht
He visits the cathedral;Er besichtigt den Dom
head;Kopf
the head;der Kopf, -e
head hurts;Kopf tut weh
headache;die Kopfschmerzen
headache tablet;Kopfschmerztablette
headache(s);Kopfschmerzen
the headphone(s), headphones;der Kopfhörer, -
health;Gesundheit
the health (singular);die Gesundheit, Sg
health check-up;der Gesundheits-Check, -s
Health in Germany;Gesundheit in Deutschland
health insurance;die Krankenversicherung, -en
health insurance card;die Gesundheitskarte
the health insurance card;die Gesundheitskarte, -n
health insurance company;die Krankenkasse
the health insurance fund;die Krankenkasse, -n
healthy;gesund
Healthy eating;Gesundes Essen
to hear;hören
to hear, to listen to;hören
heart;Herz
heartily/cordial;herzlich
heating;Heizung
the heating;die Heizung -en
heavy/difficult;schwer
hectic;hektisch
hectic, cozy/comfortable;hektisch, gemütlich
height;Höhe
helicopter pilot;Hubschrauberpilot
Hello;Hallo
Hello, the music is great, shall we dance?;Hallo, die Musik ist toll, wollen wir tanzen?
to help;helfen
to help each other;sich gegenseitig helfen
to help, helps, has helped;helfen, hilft, hat geholfen
the help/assistance, helps;die Hilfe, -n
helped me back then;hat mir damals geholfen
helps me;hilft mir
helps students;hilft Schülern
here;hier
Here there is;Hier gibt es
high;hoch
the high mountain;der hohe Berg
the high school diploma/A-levels (singular);das Abitur, Sg.
high-rise building;Hochhaus
the highlighters, markers;die Markierstifte
to hike;wandern
to hike around the beautiful lake;um den schönen See wandern
to hike in the mountains;Bergen wandern
hike, walk;die Wanderung, -en
hiking tour;Wandertour
history;die Geschichte, Sg.
hobbies;Hobbys
hobby;Hobby
the hobby;das Hobby
holiday photo;das Urlaubsfoto, -s
holidays, vacation;die Ferien, Pl
home (nach Hause = homeward);Hause
home country;Heimatland
home medicine cabinet;die Hausapotheke, -n
homeland;Heimat
the homeland/home country;die Heimat
homework;Hausaufgabe
homework help, tutoring;die Hausaufgabenhilfe, -n
honest;ehrlich
honey;Honig
to honk;hupen
to hope;hoffen
hopefully;hoffentlich
hospital;Krankenhaus
the hospital;die Krankenhaus, -er
hospital/clinic;Klinikum / Kliniken
host;der/die Gastgeber/in, -/-nen
hot;heiß
hotel;Hotel
the hotel;das Hotel, -s
hour;Stunde
hourly wage;der Stundenlohn, -¨e
house;Haus
the house;das Haus
house number;Hausnummer
house resident;Hausbewohner
household contents insurance;die Hausratversicherung, -en
housemates, residents of the building;Hausbewohner
housewife;Hausfrau
How are the people injured;Wie sind die Personen verletzt
how are you (colloquial);wie gehts
How did you manage/achieve that?;Wie haben Sie das geschafft?
How do you find...?/What do you think of...? (informal);Wie findest du ...?
How do you write that?;Wie schreibt man das?
How late (what time);Wie spät
How long;Wie lange
how long ...?;wie lange ...?
how many;wie viele
How many people are injured;Wie viele Personen sind verletzt
How much;Wie viel
how much does that cost;was kostet das
How old is she now;Wie alt ist sie jetzt
how/as;wie
how/as/like;wie
however, yes (as contradiction), after all;doch
however/yes (contradictory);doch
human/person;Mensch
humor;der Humor, Sg.
hunger;Hunger
the hunger;der Hunger, Sg
to hurt/ache;wehtun
to hurt/ache, hurts, has hurt;wehtun, tut weh, hat wehgetan
hurts too;tut auch weh
husband;der Ehemann, -¨er
