English;German
earring;der Ohrring, -e
easy;leicht
educator, childcare worker;der/die Erzieher/in, -/-nen
emergency call center;die Notrufzentrale, -n
emergency telephone (on motorway);die Notrufsäule, -n
employee, staff member;der/die Mitarbeiter/in, -/-nen
employment contract;der Arbeitsvertrag, -¨e
encounter, meeting;die Begegnung, -en
event;die Veranstaltung, -en
everywhere;überall
exam, test;die Prüfung, -en
exchange;der Austausch, Sg.
exciting/thrilling;spannend
excursion destination, day-trip destination;das Ausflugsziel, -e
exhausted;erschöpft
experience, event;das Erlebnis, -se
