German;English
Tabellenkalkulation, die, Sg.;spreadsheet (program)
Talkshow, die, -s;talk show
Tanzfläche, die, -n;dance floor
Tanzkurs, der, -e;dance class, dance course
Tapete, die, -n;wallpaper
tapezieren;to wallpaper
Tarif, der, -e;rate, tariff
Taschengeld, das, Sg.;pocket money
Taste, die, -n;key, button
Tätigkeit, die, -en;activity, job duties
tauschen;to exchange, to swap
Teamarbeit, die, Sg.;teamwork
teamfähig;good team player, able to work in a team
Technik, die, Sg.;technology, technical department
technisch;technical
Teddybär, der, -en;teddy bear
teilnehmen (an);to participate (in)
teilen;to share
Teilzeit, die, Sg.;part-time
Teilzeitarbeit, die, -en;part-time work
Telefonanbieter, der, -;telephone provider
Telefonzentrale, die, -n;telephone exchange, switchboard
Teller, der, -;plate
Tendenz, die, -en;trend, tendency
testen;to test
Tetanus, der, Sg.;tetanus
Theatergruppe, die, -n;theater group
Ticket, das, -s;ticket
Tiefe, die, -n;depth
Tierhaltung die, -en;animal husbandry, keeping animals
tierisch;animal-like; huge (colloquial)
Tofu, der, Sg.;tofu
Tonaufnahme, die, -n;audio recording
Topangebot, das, -e;top offer, great deal
total;total, completely
töten;to kill
Tourismus, der, Sg.;tourism
Tradition, die, -en;tradition
tragen;to wear, to carry
trainieren;to train, to work out
transportieren;to transport
Transportwagen, der, -;transport cart, trolley
Traum, der, -¨e;dream
traurig;sad
Trauung, die, -en;wedding ceremony
treiben (hier: Sport treiben);to drive, to do (here: to do sports)
trennen;to separate, to divide
trennen (sich);to separate, to break up
Trinkgeld, das, -er;tip
trocken;dry
trösten;to comfort, to console
tun;to do
Turnverein, der, -e;gymnastics club
Typ, der, -en;type, guy
typisch;typical
