English;German
to be pleased, to look forward to;sich freuen
to be present, to participate;dabei sein
to pack;packen
package leaflet, information leaflet;der Beipackzettel, -
package/pack;Packung
the package/pack, packages;die Packung, -en
packaging;Verpackung
page/side;Seite
to paint;malen
to paint a picture;ein Bild malen
to paint, to apply (paint);streichen
painted (past participle of malen);gemalt
pants in size M;eine Hose in Größe M
pants, trousers;Hosen
pants/trousers;Hose
the pants/trousers;die Hose, -n
paper;Papier
the paper;das Papier
parcel;Paket
the parcel;das Paket, -e
parcel service, delivery service;Paketdienst
parcel, package;Paket
Pardon me/Excuse me;Verzeihung
Pardon?/Come again?;Wie bitte?
Pardon?/Excuse me?;Wie bitte?
parents;Eltern
the parents;die Eltern, Pl
parents-in-law;die Schwiegereltern, Pl.
parents' evening;der Elternabend, -e
park;Park
the park;der Park -s
to park;parken
to park bicycles;Fahrräder abstellen
the parking lot;der Parkplatz
parking space;Parkplatz
the parking space;der Parkplatz, -e
parking time/duration;Parkzeit
the part-time work (singular);die Teilzeitarbeit, Sg.
participant;Teilnehmer
to participate (in);teilnehmen (an)
party;Party
to pass (an exam);bestehen
to pass on a message;etwas ausrichten
passenger;Fahrgast
passengers;Passagiere
passport;Pass
the passport;der Pass, -e
password;das Passwort, -¨er
past - quarter past seven;nach - Viertel nach sieben
patient;geduldig
pavement, sidewalk;Bürgersteig
to pay;bezahlen
to pay attention (here: yield right of way);achten
pay slip;Gehaltsabrechnung
the pay slip;die Gehaltsabrechnung. -en
pay slip, salary statement;Gehaltsabrechnung
Pay there;Pay dabei
to pay with EC card (debit card);EC-Karte bezahlen
pay, payment;die Bezahlung, Sg.
payment;die Zahlung, -en
pays the fee;bezahlt die Gebühr
pea;Erbse
pear/light bulb;Birne
pears;Birnen
pedestrian;Fußgänger
the pedestrian (male/female);der/die Füßgänger/in, -/-nen
pediatrician;Kinderarzt
the pen (short for Kugelschreiber), pens;der Kuli, -s
the pen, pens;der Stift, -e
pencil;Bleistift
the pencils;die Bleistifte
pension insurance;die Rentenversicherung, -en
people;Leute
per;pro
perfume;das Parfüm, -s
perhaps also smoke;rauchen vielleicht auch
a permanent position;eine feste Stelle
person;Person
personal account;das Privatkonto, -konten
personal details;persönliche Daten
pet;das Haustier, -e
the pharmacy;die Apotheke, -n
philharmonic hall (concert hall);Philharmonie
photo;Foto
the photo, photos;das Foto, -s
physics;die Physik, Sg
physiotherapist;der/die Krankengymnast/in, -en/-nen
to pick up (someone/something);abholen
to pick up a parcel;ein Päckchen abholen
picnic;Picknick
the picture/image, pictures;das Bild, -er
piece;Stück
the piece;das Stück, Sg
pill/tablet;Tablette
the pill/tablet;die Tablette, -n
pilot;der/die Pilot/in, -en/-nen
PIN (personal identification number);die PIN, -s
PIN, secret number;die Geheimnummer, -n
pink;rosa
the pizza, pizzas;die Pizza, -s/Pizzen
pizzas;Pizzen
place of birth;Geburtsort
the place of birth;der Geburtsort -e
place of residence;Wohnort
place of residence, domicile;Wohnsitz
to place, to put (vertical);stellen
to place: to submit an application pen;stellen: einen Antrag stellen Stift
place/location;Ort
place/position;Stelle
to place/put;stellen
the place/square;der Platz, -e
the place/square/seat, places;der Platz, -e
to plan;planen
platform (at a station);der Bahnsteig, -e
platform, track;Gleis
platform, track (at a station);Gleis
to play;spielen
to play a dice game;ein Würfelspiel spielen
to play cards;Karten spielen
to play in the sandbox;im Sandkasten spielen
to play soccer;Fußball spielen
to play volleyball;Volleyball spielen
played (past participle of spielen);gespielt
playground;Spielplatz
the playground;der Spielplatz, -e
Playmobil (toy brand);Playmobil
pleasant;angenehm
pleasant temperatures;angenehme Temperaturen
pleasant, likeable, sympathetic;sympathisch
please;bitte
Please say;Sagen Sie bitte
Please say it again;Bitte sagen Sie noch einmal
to please/like;gefallen
to please/like, pleases, has pleased;gefallen, gefällt, hat gefallen
pocket money;das Taschengeld, Sg.
poem;das Gedicht, -e
police officer;der/die Polizist/in, -en/-nen
polite;höflich
politics;die Politik, Sg.
poor;arm
popular;beliebt
possibility, opportunity;die Möglichkeit, -en
possible;möglich
post/mail;Post
the postal code, zip code;die Postleitzahl
the postal code/zip code, postal codes;die Postleitzahl, -en
postcard;Postkarte
the postcard;die Postkarte, -n
poster;das Plakat, -e
the poster;das Plakat
the posters;die Plakate
to postpone an appointment;einen Termin verschieben
the potato, potatoes;die Kartoffel, -n
the pound (unit of weight);das Pfund, Sg
practical;praktisch
to practice/exercise;üben
practices;Praxen
to prepare;vorbereiten
prerequisite, requirement;die Voraussetzung, -en
to prescribe;verschreiben
the prescription;das Rezept
to press;drücken
pretty expensive;ganz schön teuer
pretty strenuous, quite tiring;ganz schön anstrengend
preventive medical check-up;die Vorsorgeuntersuchung, -en
price;Preis
price tag;Preisschild
the price, prices;der Preis, -e
primary school, elementary school;die Grundschule, -n.
to print;drucken
printer;der Drucker, -
private life;das Privatleben, Sg.
private school;die Privatschule, -n
problem;Problem
problems;Probleme
Problems in the house;Probleme im Haus
to process/edit;bearbeiten
profession/occupation;Beruf
the profession/occupation;der Beruf
professional, vocational;beruflich
the program/broadcast, programs;die Sendung, -en
programmer (female);Programmiererin
the programmer (female);die Programmiererin
programmer (male);Programmierer
the pronunciation (singular);die Aussprache, Sg
protection;der Schutz
public holiday, day off;der Feiertag, -e
public transport;öffentliche Verkehrsmittel
public transport association (regional);der Verkehrsverbund, -¨e
pudding;Pudding
to pull, to move, to put on (clothes in some contexts);ziehen
punctual, on time;pünktlich
purple/lilac;lila
to put on (clothes), to attract;anziehen
to put on/get dressed, puts on, has put on;anziehen, zieht an, hat angezogen
