English;German
to be on, to be going on;los sein
to be over, to end;zu Ende sein
occasionally a cloud;mal eine Wolke
occupied, taken, busy;besetzt
October;der Oktober
of - Eva's childhood;von - die Kindheit von Eva
of course, naturally;Natürlich
offer;Angebot
to offer;anbieten
offer, special offer;Angebot
offers are so boring;Angebote sind so langweilig
offers many apartments;bietet viele Wohnungen
the office;das Büro -s
the office hours, consultation hours;die Sprechzeiten
office hours/consultation hours;Sprechzeiten
the office hours/consultation hours;die Sprechzeiten, Pl
office/authority;Amt
the office/authority;das Amt, -er
official;offiziell
often;oft
often loud and they don't sit quietly;oft laut und sitzen nicht ruhig
often original, often quirky;oft originell
Often take;Oft nehmen
oh I see;ach so
Oh I see / Oh, that's how it is;Ach so
ointment, cream;die Salbe, -n
okay;okay (o.k.)
okay, all right, in order;in Ordnung
old;alt
old town, historic center;die Altstadt, Sg.
old-fashioned;altmodisch
old, modern;alt, modern
olive;Olive
on;auf
on foot;zu Fuß
on foot, by walking;zu Fuß
on it, attached (colloquial for "daran");dran
on the;auf dem
on the first floor;im ersten Stock
on the first/second/third floor;im ersten/zweiten/dritten Stock
on the ground floor;im Erdgeschoss
on the left side;auf der linken Seite
on the phone;am Apparat
On the playground;Auf dem Spielplatz
on the right side;auf der rechten Seite
on the top floor/attic;im Dachgeschoss
on the way;unterwegs
On the way/en route;Unterwegs
on the weekend;am Wochenende
on: in German goodbye (phone) goodbye (in person);auf: auf Deutsch auf Wiederhören auf Wiedersehen
on/up;auf
once a week;einmal pro Woche
once again;noch einmal
once, sometime, just;mal
once/one time;einmal
one/you (impersonal);man
onion;Zwiebel
onions;Zwiebeln
online banking;das Online-Banking, Sg.
the online game, online games;das Online-Spiel, -e
online registration;die Online-Anmeldung, -en
online transfer;die Online-Überweisung, -en
only;Nur
only bad / just poorly;nur schlecht
only clothes;nur Kleidung
only in the south;Nur im Süden
open;geöffnet
to open;öffnen
to open (an account);eröffnen
open/opened;geöffnet
to operate;operieren
operation/surgery;Operation
opinion;die Meinung, -en
opposite;das Gegenteil, -e
opposite, across from;gegenüber
opposite/across from;gegenüber
the option, options;die Option, -en
or;oder
or suit;oder Anzug
orange;orange
orange (color);orange
orange (fruit);Orange
orange juice;Orangensaft
the orange, oranges;die Orange, -n
order;Bestellung
to order;bestellen
order, job, commission;der Auftrag, -¨e
original;original
other;andere
other plans;andere Pläne
other things;Andere Sachen
other, others;anderen
our bakery shop;unser Backshop
our house;Unser Haus
our place of residence (dative);unserem Wohnort
Our program / broadcast;Unsere Sendung
out of/from;aus
outside;draußen
outside (of);außerhalb
outside everything still very quiet;draußen alles noch ganz ruhig
outside. inside;draußen. drinnen
outward flight;der Hinflug, -¨e
Over here.;Hier drüben.
over there;Dort hinten
over there to the left / up ahead on the left;da vorne links
over there to the right;dort hinten rechts
over/about;über
over/above;über
overnight stay;Übernachtung
overtime hour;die Überstunde, -n
own/particular;eigen
