English;German
hammer;der Hammer, -
happy;glücklich
Happy Easter!;Frohe Ostern!
Happy New Year!;Prosit Neujahr!
hardworking, diligent;fleißig
health check-up;der Gesundheits-Check, -s
health insurance;die Krankenversicherung, -en
hectic;hektisch
hectic, cozy/comfortable;hektisch, gemütlich
high;hoch
hike, walk;die Wanderung, -en
history;die Geschichte, Sg.
holiday photo;das Urlaubsfoto, -s
holidays, vacation;die Ferien, Pl
home medicine cabinet;die Hausapotheke, -n
homework help, tutoring;die Hausaufgabenhilfe, -n
honest;ehrlich
hopefully;hoffentlich
host;der/die Gastgeber/in, -/-nen
hourly wage;der Stundenlohn, -¨e
household contents insurance;die Hausratversicherung, -en
How did you manage/achieve that?;(B) Wie haben Sie das geschafft?
however, yes (as contradiction), after all;doch
humor;der Humor, Sg.
husband;der Ehemann, -¨er
