German;English
das Handy;the mobile phone, cell phone
das Smartphone;the smartphone
die App;the app
die Software;the software
das Online-Spiel;the online game
die E-Mails checken;to check emails
im Internet surfen;to surf the internet
mit Freunden chatten;to chat with friends
Informationen recherchieren;to research information
die Serie;the series
das Quiz;the quiz
die Talkshow;the talk show
der Krimi;the crime drama
erreichbar;reachable, contactable
entspannend;relaxing
nützlich;useful
möglich;possible
