German;English
üben;to practice
überall;everywhere
überlegen;to consider, to think over
Überraschung, die, -en;surprise
Übersetzer/in, der/die, -/-nen;translator
Überstunde, die, -n;overtime hour
Übung, die, -en;exercise, practice
Uhrzeit, die, -en;time of day
umtauschen;to exchange (goods)
Umdrehung, die, -en;rotation, revolution
Umgebung, die, -en;surroundings, environment
unbedingt;absolutely, definitely
unfreundlich;unfriendly
ungenügend;insufficient, unsatisfactory
Universität, die, -en;university
Universitätsstadt, die, -¨e;university city/town
unkompliziert;uncomplicated, straightforward
unsicher;uncertain, insecure
unsympathisch;unpleasant, disagreeable
unterhalten (sich);to converse, to talk, to entertain oneself
Unterkunft, die, -¨e;accommodation
unternehmen;to undertake, to do (an activity)
unterrichten;to teach
unterschiedlich;different, varying
Urin, der, Sg.;urine
Urin-Untersuchung die, -en;urine test
Urlaubsfoto, das, -s;holiday photo
Urlaubsreise, die, -n;vacation trip, holiday trip
Ursache, die (hier: Keine Ursache);cause, reason (here: No problem!)
