German;English
die Bank, -en;bank
die Versicherung, -en;insurance
einzahlen;to deposit, pay in
abheben;to withdraw (cash)
überweisen;to transfer (money)
wechseln;to change, exchange (money)
die Überweisung, -en;money transfer
der Schalter, -;counter, window (at a bank)
das Konto, Konten;account
eröffnen;to open (an account)
anlegen;to invest, to set up (e.g., an account)
beantragen;to apply for, to request
die Online-Überweisung, -en;online transfer
(A) Auf der Bank;(A) At the Bank
die Kontogebühr, -en;account fee
die Zinsen, meistens Pl.;interest
der Dauerauftrag, -e;standing order, automatic payment
die EC-Karte, -en;debit card (German EC card)
die Geheimnummer, -n;PIN, secret number
das Girokonto, -konten;checking account, current account
das Online-Banking, Sg.;online banking
der Bankberater, -;bank advisor
das Privatkonto, -konten;personal account
das Geschäftskonto, -konten;business account
die PIN, -s;PIN (personal identification number)
kostenlos;free of charge
bargeldlos;cashless
die Zahlung, -en;payment
(B) Versicherungen;(B) Insurance
die Rentenversicherung, -en;pension insurance
die Krankenversicherung, -en;health insurance
die Kfz-Versicherung, -en;motor vehicle insurance
die Rechtsschutzversicherung, -en;legal expenses insurance
die Haftpflichtversicherung, -en;liability insurance
die Hausratversicherung, -en;household contents insurance
kümmern (sich);to take care of, to look after
der Rechtsanwalt, -¨e;lawyer, attorney
überlegen (sich);to consider, to think over
der Schaden, -¨;damage, loss
abschließen;to conclude, to take out (e.g., insurance)
der Schutz;protection
der Tarif, -e;rate, tariff
der Gebrauchtwagen, -;used car, second-hand car
(C) Kaufen und reklamieren;(C) Buying and Complaining
die Garantie, Sg.;guarantee, warranty
der Vorteil, -e;advantage
der Nachteil, -e;disadvantage
die Reklamation, -en;complaint, claim
reklamieren;to complain, to make a claim
der Staubsauger, -;vacuum cleaner
der Rasierapparat, -e;shaver, razor
der Garantieschein, -e;guarantee certificate, warranty card
die Quittung, -en;receipt
reparieren;to repair
prüfen;to check, to examine
