German;English
Abitur;university entrance qualification (A-levels equivalent)
Universität;university
Fachhochschule;university of applied sciences
Fachabitur;subject-specific university entrance qualification
Berufsschule;vocational school
Fachoberschule;technical secondary school / vocational college
Mittlerer Schulabschluss;intermediate school leaving certificate (Realschule level)
Förderschule;special needs school
Hauptschule;secondary modern school (German school type)
Realschule;intermediate school (German school type)
Gesamtschule;comprehensive school
Gymnasium;grammar school / academic high school
Grundschule;primary school / elementary school
Kita/Kindergarten;daycare center / kindergarten
