German;English
der Vater, -;the father, fathers
die Mutter, -;(likely typo "Muffen") the mother, mothers
die Eltern, Pl;the parents
der Bruder, -;the brother, brothers
die Schwester, -n;the sister, sisters
die Geschwister, Pl;the siblings
der Onkel, -;the uncle, uncles
die Tante,-n;the aunt, aunts
der Sohn, -e;the son, sons
die Tochter,-;(likely missing plural) the daughter, - (daughters)
(A) Familienfotos;Family photos
das Foto, -s;the photo, photos
zu Hause;at home
studieren;to study (at university)
(B) Freizeit mit der Familie;Free time with the family
die Freizeit, Sg;(likely typo "Fezeit") the free time/leisure time
die -n;(likely incomplete) possibly "Familie, -n" (the family)
alle;all/everyone
faulenzen;to laze around/relax
schlafen;to sleep
essen;to eat
lesen;to read
sehen;to see
nehmen;to take
fahren;to drive/travel
treffen;to meet
die Schokolade, Sg;the chocolate
die Pizza, -s/Pizzen;the pizza, pizzas
der Film, -e;the film/movie, movies
nach: nach Berlin/nach Hause;to: to Berlin/home
Zeit haben;to have time
gern, gerne;gladly/with pleasure
die Sehenswürdigkeit, -en;the sight/attraction, sights
das Wochenende, -n;the weekend, weekends
am Wochenende;on the weekend
bleiben;to stay
chillen;to chill/hang out
der Tag, -e;the day, days
wo;where
wohin;where to
die Radtour, -en;the bike tour, bike tours
der Supermarkt, -n;the supermarket, supermarkets
die Lebensmittel, Pl;the groceries/food
besichtigen;to visit/inspect
besuchen;to visit
das Straßenfest, -e;the street festival, street festivals
zu Mittag essen;to have lunch
der Kaffee, Sg;the coffee
trinken;to drink
kennen;to know (be acquainted with)
zuerst;first
dann;then
danach;afterwards/after that
(C) Familien früher;Families in the past
früher;earlier/in the past
alles anders;everything different
