German;English
am;at the / on the (an + dem)
Ich wohne am See.;I live at the lake.
ans;to the / on the (an + das)
Häng das Bild ans Fenster.;Hang the picture on the window.
aufs;onto the (auf + das)
Leg das Buch aufs Bett.;Put the book onto the bed.
beim;at the / by the (bei + dem)
Er ist beim Arzt.;He is at the doctor's.
durchs;through the (durch + das)
Wir laufen durchs Feld.;We walk through the field.
fürs;for the (für + das)
Das Geschenk ist fürs Kind.;The gift is for the child.
hinters;behind the (hinter + das)
Stell dich hinters Haus.;Stand behind the house.
hinterm;behind the (dative) – hinter + dem
Es liegt hinterm Schrank.;It is behind the closet.
im;in the (in + dem)
Er ist im Büro.;He is in the office.
ins;into the (in + das)
Wir gehen ins Kino.;We are going into the cinema.
übers;over the (über + das)
Spring über den Tisch?;Jump over the table? (colloquial)
überm;above the (dative) – über + dem
Die Lampe hängt überm Tisch.;The lamp hangs above the table.
ums;around the (um + das)
Wir gehen ums Haus.;We walk around the house.
unters;under the (unter + das)
Leg den Ball unters Bett.;Put the ball under the bed.
unterm;under the (dative) – unter + dem
Die Katze liegt unterm Bett.;The cat lies under the bed.
vom;from the (von + dem)
Ich komme vom Arzt.;I come from the doctor.
vors;in front of the (vor + das)
Setz dich vors Fenster.;Sit in front of the window.
vorm;in front of the (dative) – vor + dem
Das Auto steht vorm Haus.;The car is parked in front of the house.
zum;to the / to a (zu + dem)
Ich gehe zum Supermarkt.;I am going to the supermarket.
zur;to the (zu + der)
Sie fährt zur Schule.;She drives to school.
