English;German
namely / because / that is;nämlich
nature;Natur, die, Sg.
nature reserve / protected area;Naturschutzgebiet, das, -e
necessary / needed;nötig
necessary / required;notwendig
negative;negativ
negotiation / hearing;Verhandlung, die, -en
neither ... nor;weder ... noch
nervous / anxious / edgy;nervös
net salary;Nettogehalt, das, “-er
network / web (here: internet);Netz, das, (hier: Internet) Sg.
nevertheless / anyway / despite that;trotzdem
new customer;Neukunde/Neukundin, der/die, -n/-nen
newspaper report;Zeitungsmeldung, die, -en
newspaper reports;Zeitungsmeldungen
noise;Lärm, der, Sg.
nonsense / rubbish;Quatsch, der, Sg.
Nordic walking;Nordic Walking, das, Sg.
not only ... but also;nicht nur ... sondern auch
note;Notiz, die, -en
now and then / occasionally;ab und zu
now and then / occasionally / sometimes;ab und zu
nuclear energy;Kernenergie, die, Sg.
nuclear power plant;Kernkraftwerk, das, -e
nuclear waste;Atommüll, der, Sg.
numerous / many / countless;zahlreich
nursing home / old people's home;Altenheim, das, -e
