German;English
alle;all / everyone
Alle sind willkommen.;Everyone is welcome.
alles;everything
Alles ist in Ordnung.;Everything is fine.
beide;both
Beide haben recht.;Both are right.
einer;someone / one (masculine)
Einer hat mich angerufen.;Someone called me.
etwas;something
Ich möchte etwas essen.;I would like to eat something.
jemand;someone
Jemand hat geklopft.;Someone knocked.
keiner;no one / none (masculine)
Keiner ist gekommen.;No one came.
man;one / you (indefinite subject)
Man sagt, es wird regnen.;One says it will rain.
niemand;no one
Niemand weiß die Antwort.;No one knows the answer.
nichts;nothing
Ich habe nichts gehört.;I heard nothing.
vieles;many things
Vieles hat sich geändert.;Many things have changed.
weniges;few things
Weniges ist wichtig.;Few things are important.
