English;German
damage, loss;der Schaden, -¨
the day before yesterday;vorgestern
debit card (German EC card);die EC-Karte, -en
to delete/erase;löschen
to depart, to take off (flight);abfliegen
the department head/manager (male/female);der/die Abteilungsleiter/in,-/-nen
departure (flight);der Abflug, -¨e
departure point (for flights);der Abflugort, -e
to deposit, pay in;einzahlen
deposit, security payment;die Kaution, -en
depressive/depressed;depressiv
dessert;die Nachspeise, -n
device, appliance;das Gerät, -e
to dial a wrong number;sich verwählen
diarrhea;der Durchfall, Sg.
different/varied;unterschiedlich
difficult;schwierig
diligent, hard-working;fleißig
diploma;das Diplom, -e
direct line, extension number;die Durchwahl, -en
dirty;schmutzig
disability;die Behinderung, -en
disadvantage;der Nachteil, -e
disappointed;enttäuscht
to discuss;besprechen
dish, meal;das Gericht, -e
dishes, crockery;das Geschirr, Sg.
district, part of town;der Stadtteil, -e
disturbance, fault, interference;die Störung, -en
diverse, varied;vielfältig
to do detention;nachsitzen
to do sports, to exercise;Sport treiben
to do the housework;den Haushalt machen
to do things;Dinge tun
to do without, to go without;verzichten (auf)
doctor's appointment;der Arzttermin, -e
doctor's assistant, medical assistant;die Arzthelferin, -nen
the documentary, documentaries;der Dokumentarfilm, -e
double lesson (e.g., two teaching periods);die Doppelstunde, -en
dream;der Traum, -¨e
to dream (of);träumen (von)
to dress up, to wear a costume;sich verkleiden
to drill;bohren
duration, length;die Dauer, Sg.
