German;English
auf der Straße;on the street
auf dem Schulhof;in the schoolyard
in der Kita;in the daycare center
auf dem Spielplatz;on the playground
in der Schule;at school
im Fußballverein;in the football club
in der Musikschule;in the music school
in der Hausaufgabenbetreuung;in homework supervision
in der Nachhilfeschule;in the tutoring school
zu Hause;at home
bei Freunden;at friends' houses
bei den Großeltern;at the grandparents' house
in einem Einkaufszentrum;in a shopping center
im Schwimmbad;in the swimming pool
