German;English
über Vereine;about clubs and associations
zwei Gäste eingeladen, die beide Vereinsmitglieder sind;two guests invited who are both club members
erzählen;to tell, narrate
uns doch ein bisschen über Ihren Verein;tell us a bit about your club
viele Mitglieder aktiv;many active members
uns das ganze Jahr, aber ab;us all year round, but from
wir besonders aktiv;we are particularly active
Es gibt verschiedene Gruppen in unserem Karnevalsverein;there are various groups in our carnival club
für die Erwachsenen eine Rock and Roll-Gruppe;a rock and roll group for the adults
Diese Gruppe bereitet dann die Sitzungen und den Umzug vor;this group then prepares the meetings and the parade
auch viele verschiedene Gruppen;also many different groups
nur jede Woche einmal zur Gymnastik;only once a week to gymnastics
regelmäßig;regularly
ungefähr;approximately
das macht mir Spaß und tut gut;I enjoy it and it's good for me
