English;German
T-shirt;T-Shirt
table;Tisch
tablet (computer/medicine);Tablet
tablet, pill;die Tablette
take (ich nehme);nehme
take it;nimm es
Take you (formal), You take;Nehmen Sie
task;Aufgabe
tastes good;schmeckt gut
taxi company;Taxiunternehmen
taxi driver;Taxifahrer
taxi driver (male);Taxifahrer
tea;Tee
Tea, Meat, Wine, Water;Tee, Fleisch, Wein, Wasser
teacher;Lehrer
teacher (female);Lehrerin
team;Team
teamwork;die Teamarbeit, Sg.
technical service;der technische Service
technology, technical department;die Technik, Sg.
telephone call;der Anruf, -e
telephone number;Telefonnummer
television;Fernseher
Television and radio;Fernsehen und Radio
television set;Fernseher
tell me, tell us;erzähl mal
temperature;Temperatur
temporary employment agency;die Zeitarbeitsfirma, -firmen
temporary help, assistant;die Aushilfe, -n
ten past;zehn nach
ten square meters;zehn Quadratmeter
ten to;zehn vor
tenancy agreement, rental contract;Mietvertrag
tenant;Mieter
tenants in the stairwell;Mietern im Treppenhaus
tent;das Zelt, -e
terminal/end station;Endstation
terrace, patio;Terrasse
terrace/patio;Terrasse
terraced house/row house;Reihenhouse
terrible;schrecklich
terrible, awful;furchtbar
terrible/awful;furchtbar
text;Text
Thai;Thailändisch
than (comparative);als (Komparativ)
thank you;danke
Thank you very much;Vielen Dank
Thank you very much!;Herzlichen Dank!
thanks (thank you very much);Dank (Vielen Dank)
that;das
that (conjunction);dass
That comes to 20 euros.;Das macht 20€.
That is ...;Das ist ...
That is best;Das ist am besten
that is better than too much;das ist besser als zu viel
that is here / she is here;die ist hier
that means every day;das heißt jeden Tag
that takes a long time;lange dauert das
that was strenuous, tiring;das war anstrengend
that works;das geht
that's correct / that's true;das stimmt
That's fun;Das macht Spaß
that's great / is indeed great;ist ja toll
That's nice;Das ist nett
That's not possible;Das geht nicht
that's not possible here / you can't do that here;das geht hier nicht
that's why I order;Deshalb bestelle
the accident;der Unfall, -e
the account number;die Kontonummer, -n
the additional costs/utilities;die Nebenkosten, Pl
the address;die Adresse
the address book, address books;das Adressbuch, -er
the address, addresses;die Adresse, -n
the advantage;der Vorteil, -e
the advertisement/commercial, advertisements;die Werbung, -en
the airplane;das Flugzeug, -e
the airport;der Flughafen, -
the ambulance;der Krankenwagen, -
the animal;das Tier, -e
the apartment/flat, apartments;die Wohnung,-en
the apology/excuse;die Entschuldigung, -en
the app, apps;die App, -S
the apple juice, apple juices;der Apfelsaft, -e
the apple, apples;der Apfel, -
the application;der Antrag, -e
the appointment;der Termin, -e
the architect (male/female);der/die Architekt/in,-en/-nen
the area code, area codes;die Vorwahl, -en
the arm and the leg;der Arm und das Bein
the armchair, armchairs;der Sessel, -
the arrival;die Ankunft
the ATM/cash machine;der Geldautomat, -en
the attachment,;der Anhang,
the attic/loft, attics;das Dachgeschoss, -e
the aunt, aunts;die Tante,-n
the authority/office;die Behörde, -n
the autumn/fall;der Herbst
the average (singular);der Durchschnitt, Sg.
the back and the stomach;der Rücken und der Bauch
the bag, bags;die Tasche, -n
the bag, pocket, purse;die Tasche
the balcony;der Balkon
the balcony, balconies;der Balkon, -s/-e
the ballpoint pen;der Kugelschreiber
the banana, bananas;die Banane, -n
the bank account details;die Bankverbindung -en
the bank clerk;der Bankkaufmann
the bank clerk (male), the bank clerk (female), plural: banking professionals;der Bankkaufmann, die Bankkauffrau, Pl: Bankkaufleute
the bank statement;der Kontoauszug, -e
the bank/bench;die Bank, -en
the bar of chocolate;die Tafel Schokolade
the beach;der Strand, -e
the beaches;die Strände
the bed, beds;das Bett, -en
the bedroom, bedrooms;das Schlafzimmer, -
the beer, beers;das Bier, -e
the beginning/start, beginnings;der Anfang, -e
the bench/bank;die Bank, -e
the bicycle, bicycles;das Fahrrad, -er
the bicycles;die Fahrräder
the bike tour, bike tours;die Radtour, -en
the bin/ton;die Tonne, -n
the birth certificate;die Geburtsurkunde, -n
the blackboard/board, boards;die Tafel, -n
the blouse;die Bluse, -n
the board, blackboard;die Tafel
the bonus booklet;das Bonusheft, -e
the bonus booklet (for dental check-ups);das Bonusheft
the book;das Buch
the book, books;das Buch, -er
the boss (male/female);der/die Chef/in, -s/-nen
the bottle;die Flasche
the bottle, bottles;die Flasche, -n
the boutique;die Boutique, -n
the box/crate, boxes;der Kasten, -
the boy;der Junge, -n
the bread, breads;das Brot, -e
the breakfast;das Frühstück
the bridge;die Brücke, -n
the brother, brothers;der Bruder, -
the bus;der Bus, -se
the butcher shop, butcher shops;die Metzgerei, -en
the cafe;das Cafe -e
the campsite;der Campingplatz, -e
the can/tin, cans;die Dose, -n
the car key;der Autoschlüssel, -
the car mechanic (male/female);der/die Kfz-Mechaniker/in-/-nen
the career counseling;die Berufsberatung, -en
the caretaker, janitor (female);die Hausmeisterin
the carpet/rug, carpets;der Teppich, -e
the case worker/clerk;der/die Sachbearbeiter/in, -/-nen
the cash desk/register;die Kasse, -n
the CD;die CD
the CD player;der CD-Player
the CD, CDs;die CD, -s
the CDs;die CDs
the cell phone, cell phones;das Handy, -s
the cellar/basement;der Keller, -
the central heating;die Zentralheizung
the central heating, central heating systems;die Zentralheizung, -en
the chair;der Stuhl
the chair, chairs;der Stuhl, -e
the chairs;die Stühle
the changing room;die Umkleidekabine, -n
the changing room, fitting room;die Umkleidekabine
the check/control;die Kontrolle, -n
