German;English
erzählen;to tell / to narrate
kleinen Laden;small shop
dort;there
Du willst dich selbstständig machen.;You want to become self-employed.
Das ist mutig.;That's brave.
Urlaubsgeld;vacation pay / holiday bonus
verdiene ich auch nichts;I don't earn anything either
Sicher!;Sure! / Certainly!
Was hast du denn schon alles gemacht?;What have you already done so far?
Existenzgründungsseminar;startup / entrepreneurship seminar
viele gute Tipps bekommen;received many good tips
die Finanzierung plant;planning the financing
Stimmt;That's right / True
auch Geld für den Umbau;also money for the renovation
zwar ein bisschen Eigenkapital;admittedly a bit of equity capital
ungefähr doppelt so viel;approximately twice as much
einen Kredit gesprochen;talked about a loan / arranged a loan
Und es sieht ganz gut aus.;And it looks quite good.
überlegt;thought about / considered
was du kochen möchtest?;what you would like to cook?
Burger sind voll im Trend!;Burgers are totally trendy!
