German;English
da (Konj.);because / since / as
dabei haben;to have with one / to carry
Dach, das, “-er;roof / shelter / home
dazu führen;to lead to / to result in
decken;to cover / to set (table)
desinteressiert;uninterested / indifferent / disengaged
Demenz, die, Sg.;dementia
Demo-CD, die, -s;demo CD
demographisch;demographic
demokratisch;democratic
Demonstration, die, -en;demonstration / protest
demonstrieren;to demonstrate / to protest
Depression, die, -en;depression
der-/das-/dieselbe, dieselben;the same
Detail, das, -s;detail
Diabetes, die, Sg.;diabetes
Diebstahl, der, Sg.;theft
Dienstleistung, die, -en;service
Diesel, der, Sg.;diesel
Differenz, die, -en;difference / discrepancy
digital;digital
Diskussion, die, -en;discussion
Display, das, -s;display / screen
doppelt;double / twice / dual
Dozent/in, der/die, -en/-nen;lecturer / teacher
Drittel, das, -;third (one third)
drohen;to threaten / to menace
Druckmaschine, die, -n;printing press / printing machine
Durchsage, die, -n;announcement / public address
durchschnittlich;average / mean
Durchschnittsgehalt, das, “-er;average salary
Durchsicht, die, Sg.;inspection / review / examination
dynamisch;dynamic
