English;German
to be slim;schlank sein
to be sorry, is sorry, has been sorry;leidtun, tut leid, hat leidgetan
to be sorry/feel sorry for;leidtun
Sachertorte (chocolate cake);Sachertorte
sad;traurig
sailing;Segeln
salad;der Salat
the salad, salads;der Salat, -e
salad/lettuce;Salat
salami;Salami
salary;das Gehalt, -¨er
salesperson/seller;Verkäufer
the salesperson/seller (male/female);der/die Verkäufer/in
salt;Salz
the salt (singular);das Salz, Sg
salutation;Anrede
the salutation;die Anrede, -n
same - My house is immediately to the right;gleich - Mein Haus ist gleich rechts
same - the same price;gleich - der gleiche Preis
the same price;der gleiche Preis
sand;der Sand, Sg.
sandbox;Sandkasten
the sandbox;der Sandkasten -
satisfied, content;zufrieden
Saturday;Samstag
Saturday evening;Samstagabend
the Saturday, Saturdays;der Samstag, -e
sausage;Wurst
sausage platter;Wurstplatte
sausage, cold cuts;Wurst
the sausage, sausages;die Wurst, -e
to save/store;speichern
saw the Prater (Vienna amusement park);haben den Prater gesehen
Say / Tell (imperative or infinitive);Sagen
Say / Tell me (colloquial plural);Sagt mal
say it again (formal);sagen Sie noch einmal
to say, to tell;sagen
to say/tell;sagen
scarlet fever;Scharlach
scheduled, according to plan;planmäßige
the Schnoor district (historic quarter in Bremen);das Schnoorviertel
school;Schule
school cafeteria;Schulkantine
school days, school time;die Schulzeit, Sg.
school education;die Schulbildung
school leaving qualification;der Schulabschluss, -e
school year;das Schuljahr, -e
schoolyard;der Schulhof, -e
schulz@gmx.de (email address);schulz@gmx.de
scissors;die Schere, -n
the scissors;die Schere
sea/ocean;Meer
the sea/ocean;das Meer, -e
to search, to look for;suchen
to search/look for;suchen
the seas, the oceans;die Meere
season;Jahreszeit
the season;die Jahreszeit, -en
seasons;Jahreszeiten
The seasons;Die Jahreszeiten
seat reservation;die Platzreservierung, -en
the second-hand shop, thrift store;der Secondhandladen
second-hand shops, thrift stores;Secondhandläden
the second-hand store;der Secondhandladen, -
second-hand store/thrift shop;Secondhandladen
secondary modern school (German school type);die Hauptschule, -n
secondary modern school leaving certificate;der Hauptschulabschluss, -e
secretary;Sekretärin
secretary (female);Sekretärin
the secretary (male);der Sekretär
the secretary (male/female);der/die Sekretär/in -e/-nen
sections, segments;Abschnitten
to see;sehen
to see the display board;Anzeigetafel sehen
See you soon!;Bis bald!
See you tomorrow;Bis morgen
to see, have seen;sehen, haben gesehen
to see, I have seen;sehen, ich habe gesehen
to see, sees, has seen;sehen, sieht, hat gesehen
to seem/shine;scheinen
to seem/shine, seems, has seemed;scheinen, scheint, hat geschienen
to select/choose;auswählen
self, myself/yourself etc.;selbst
self/oneself;selbst
to sell;verkaufen
to send;schicken
to send off/submit;abschicken
sender;Absender
the sender;der Absender, -
sensible, reasonable;vernünftig
sensitive;empfindlich
the sentence, sentences;der Satz, -e
to separate, to break up;sich trennen
to separate, to divide;trennen
September;der September
the series, series;die Serie, -n
serious;ernst
servings of fruit and vegetables;Portionen Obst und Gemüse
settlement, billing, statement;die Abrechnung, -en
to sew;nähen
to share;teilen
shaver, razor;der Rasierapparat, -e
She drives to the supermarket;zu - Sie fährt zum Supermarkt
She meets;Sie trifft
she takes the bus;nimmt sie den Bus
shelf;Regal
shelf, rack;Regal
shelf, shelves;Regal
the shelf, shelves;das Regal, -e
the shelves are nice;die Regale sind schön
shift work;die Schichtarbeit, -en
shines / it seems;scheint
shines / it seems (from "scheinen");scheint
shines, seems;scheint
ship;Schiff
the ship;das Schiff -e
shipping company, freight forwarding;die Spedition, -en
shirt;Hemd
the shirt;das Hemd, -en
shoe;Schuh
the shoe;der Schuh, -e
shoes;Schuhe
The shoes don't fit;Die Schuhe passen nicht
to shop;einkaufen
shop, business;Geschäft
to shop, to go shopping;einkaufen
shop/business;Geschäft
the shop/business, shops;das Geschäft, -e
shopped (past participle of einkaufen);eingekauft
Shopping;Einkaufen
Shopping in the department store;Im Kaufhaus einkaufen
shopping list;Einkaufszettel
The shopping list;Der Einkaufszettel
shopping street;die Einkaufsstraße, -n
shopping/purchase;Einkauf
shops, stores;Geschäfte
short/brief;kurz
shortcut/abbreviation;Abkürzung
should come along;soll mitkommen
should/ought to;sollen
to show;zeigen
show me;zeig mal
siblings;Geschwister
the siblings;die Geschwister, Pl
sick again;schon wieder krank
the sick note;die Krankschreibung -en
sick note, medical certificate;die Krankschreibung
sick/ill;krank
side effects;die Nebenwirkungen, Pl.
sidewalk/pavement;Bürgersteig
the sidewalk/pavement;der Bürgersteig, -e
sight, tourist attraction;die Sehenswürdigkeit
the sight/attraction, sights;die Sehenswürdigkeit, -en
sights, tourist attractions;Sehenswürdigkeiten
the sign;das Schild, -er
to sign;unterschreiben
to sign, signs, has signed;unterschreiben, unterschreibt, hat unterschrieben
sign/shield;Schild
signature;Unterschrift
the signature;die Unterschrift, -en
simple/easy;einfach
since;seit
since 1998;seit 1998
since 2009;seit 2009
since 2014;seit 2014
since still / because still;da immer noch
since the beginning of 2014;seit Anfang 2014
since when ...?;seit wann ...?
since when?;seit wann?
to sing karaoke;Karaoke singen
single;ledig
single-family house;Einfamilienhaus
single/unmarried;ledig
sink;Spüle
the sink, sinks;die Spüle, -n
sink, washbasin;Waschbecken
sister;Schwester
the sister, sisters;die Schwester, -n
to sit;sitzen
to sit on the bench;auf der Bank sitzen
to sit, have sat;sitzen, haben gesessen
to sit, sits, has sat;sitzen, sitzt, hat gesessen
situation;Situation
size;Größe
the size;die Größe, -n
skirt;Rock
the skirt;der Rock -e
skirts;Röcke
to sleep;schlafen
to sleep, I have slept;schlafen, ich habe geschlafen
to sleep, sleeps, has slept;schlafen, schläft, hat geschlafen
sleeping bag;der Schlafsack, -¨e
the slice, slices;die Scheibe, -n
slice/pane;Scheibe
slices of ham;Scheiben Schinken
slide;Rutsche
slipper;Hausschuh
slow/slowly;langsam
small;klein
small parcel;Päckchen
the small parcel;das Päckchen, -
small town;Kleinstadt
the small town;die Kleinstadt,-e
small, big;klein, groß
smartphone;Smartphone
to smell;riechen
to smell, smells, has smelled;riechen, riecht, hat gerochen
to smile;lächeln
snack bar/fast food stand;Imbiss
snow;Schnee
to snow;schneien
the snow (singular);der Schnee Sg
snowman;Schneemann
so fast;so schnell
