English;German
main course;die Hauptspeise, -n
main focus, emphasis;der Schwerpunkt, -e
manual, craft-related, artisanal;handwerklich
market manager, store manager;der/die Marktleiter/in, -/-nen
mathematics (math);die Mathematik (Mathe),sg.
meeting, discussion;die Besprechung, -en
member;das Mitglied, -er
membership fee;der Mitgliedsbeitrag, -¨e
memory;die Erinnerung, -en
menu;die Speisekarte, -n
message, news;die Nachricht, -en
message, notice;die Mitteilung, -en
MM = monthly rent;MM = die Monatsmiete, -n
mobile internet;mobiles Internet
money transfer;die Überweisung, -en
monthly ticket (for transport);die Monatskarte, -n
mood, atmosphere;die Stimmung, Sg.
most (plural);die meisten
motor vehicle insurance;die Kfz-Versicherung, -en
municipal utilities;die Stadtwerke, Pl.
museum;das Museum, Museen
mutual, reciprocal;gegenseitig
