English;German
garage;Garage
garbage bin;Mülltonne
garbage collection;Müllabfuhr
garbage/trash;Müll
garden;Garten
gas station;Tankstelle
general practitioner's office;Hausarztpraxis
geriatric nurse (male);Altenpfleger
German;Deutsch
German course;Deutschkurs
German railway discount card (similar to railcard);BahnCard
get on/off (ich steige);steige
Get well soon;Gute Besserung
Get well soon!;Gute Besserung!
get well soons;Gute Besserung
gift articles;Geschenkartikel
gift voucher, coupon;der Gutschein, -e
gift, present;das Geschenk, -e
girl;Mädchen
gladly, with pleasure;Gern
gladly/willingly;gerne
gladly/with pleasure;gern, gerne
glass;Glas
glasses;Brille
go (ich gehe);gehe
good;gut
Good day, how are you?;Guten Tag, wie geht es Ihnen?
Good day/Hello;Guten Tag
Good evening;Guten Abend
good for one's health;gut für die Gesundheit
good grades;gute Noten
good idea;gute Idee
Good morning;Guten Morgen
good opportunity;gute Chance
good team player, able to work in a team;teamfähig
good value/affordable;preiswert
Goodbye (formal);Auf Wiedersehen
Goodbye (on the phone);auf Wiederhören
got married;habe geheiratet
grade, mark;die Note, -n
gram;Gramm
grammar school, high school (academic track);das Gymnasium, Gymnasien
grandchild;Enkelkind
grandchildren live completely differently;Enkelkinder leben ganz anders
grandfather;Großvater
grandfather was a doctor;Großvater war Arzt
grandmother;Großmutter
grandparents;Großeltern
grandson;Enkel
graphic designer;Grafiker
gray;grau
great experience;tolles Erlebnis
great holiday apartment;tolle Ferienwohnung
great, awesome;toll
great, fantastic;Toll
great/awesome;toll
great/class;klasse
great/excellent;prima
Greek;Griechisch
green;grün
greeting;Gruß
grill;Grill
groceries, foodstuffs;die Lebensmittel
groceries/food;Lebensmittel
groom;der Bräutigam, -e
ground floor;Erdgeschoss
ground meat/mince;Hackfleisch
guarantee certificate, warranty card;der Garantieschein, -e
guarantee, warranty;die Garantie, Sg.
guest;Gast
guesthouse/pension;Pension
gymnastics;Gymnastik
gymnastics club;der Turnverein, -e
