German;English
Hahn, der, “-e;tap / faucet / rooster / cock
halbtags;part-time / half-day
halten (für);to consider / to take for / to think
hart;hard / tough / harsh
Häschen, das, -;bunny / little hare
Hase, der, -n;hare / rabbit
Hauptstadt, die, “-e;capital city
Haushaltsgerät, das, -e;household appliance
Hausmann, der, “-er;househusband / stay-at-home dad
Haustür, die, -en;front door / house door
Haustürgeschäft, das, -e;door-to-door sale
Hebamme, die, -n;midwife
Hebammenpraxis, die, -praxen;midwife practice
Heirat, die, Sg.;marriage / wedding
Heiratsalter, das, Sg.;marriage age / age at marriage
heizen;to heat
Herausforderung, die, -en;challenge
Herrenabteilung, die, -en;men's department
herstellen;to manufacture / to produce / to make
herunterladen;to download
Herz, das, -en;heart
Herzinfarkt, der, -e;heart attack
hilfreich;helpful / useful
hinzufügen;to add
hinzukommen;to be added / to come additionally
Hit, der, -s;hit (song)
hochmodern;state-of-the-art / highly modern
Hochschulabschluss, der, “-e;university degree / higher education degree
Hochwasser, das, -;flood / high water
Hort, der, -e;after-school care / haven / refuge
Hortgebäude, das, -;after-school care building
Hosenanzug, der, “-e;pantsuit / trouser suit
Hotelzimmer, das, -;hotel room
Huhn, das, “-er;chicken / hen
IHK, die, -s (=Industrie- und Handelskammer);Chamber of Industry and Commerce
