German;English
die Innenstadt, -e;city center, downtown
der Vorort, -e;suburb
zentral;central
außerhalb;outside (of)
verkehrsgünstig;with good transport links, conveniently located for transport
öffentliche Verkehrsmittel;public transport
Ruhe haben;to have peace and quiet
(A) Eine Wohnung suchen;(A) Looking for an Apartment
MM = die Monatsmiete, -n;MM = monthly rent
NK = die Nebenkosten, Pl.;NK = utilities, additional costs
KM = die Kaltmiete, Sg.;KM = base rent (excluding utilities)
der/die Nachmieter/in,-/-nen;successor tenant, replacement tenant
das Haustier, -e;pet
die Kaution, -en;deposit, security payment
die Lage, -n;location
vermieten;to rent out, to let
die Einbauküche, -n;fitted kitchen
das WC, -s;toilet, water closet
renovieren;to renovate, to refurbish
die Renovierung, -en;renovation
lassen;to have (something done), to let
ich lasse renovieren;I'm having it renovated
ich renoviere selbst;I'm renovating it myself
der Auftrag, -¨e;order, job, commission
transportieren;to transport
aufhängen;to hang up
(B) Der Umzug;(B) The Move / Relocation
legen;to lay, to put down (horizontal)
liegen;to lie, to be located (horizontal)
stellen;to place, to put (vertical)
hängen;to hang, to be hanging
stehen;to stand, to be standing
der Hammer, -;hammer
der Nagel, -;nail
die Tapete, -n;wallpaper
die Leiter, -n;ladder
streichen;to paint, to apply (paint)
tapezieren;to wallpaper
einverstanden;in agreement
die Meinung, -en;opinion
(C) Die neuen Nachbarn;(C) The New Neighbors
sympathisch;pleasant, likeable, sympathetic
unsympathisch;unpleasant, disagreeable
unfreundlich;unfriendly
sich kennenlernen;to get to know each other
sich freuen;to be pleased, to look forward to
sich fühlen;to feel
sich wohlfühlen;to feel comfortable
sich verlieben;to fall in love
sich küssen;to kiss each other
sich trennen;to separate, to break up
sich streiten;to argue
sich entschuldigen;to apologize
stark;strong
schwach;weak
einsam;lonely
fremd;strange, foreign
erschöpft;exhausted
hoffentlich;hopefully
