English;German
Sachertorte (chocolate cake);Sachertorte
sad;traurig
sailing;Segeln
salad;der Salat
salad/lettuce;Salat
salami;Salami
salary;das Gehalt, -¨er
salesperson/seller;Verkäufer
salt;Salz
salutation;Anrede
same - My house is immediately to the right;gleich - Mein Haus ist gleich rechts
same - the same price;gleich - der gleiche Preis
sand;der Sand, Sg.
sandbox;Sandkasten
satisfied, content;zufrieden
Saturday;Samstag
Saturday evening;Samstagabend
sausage;Wurst
sausage platter;Wurstplatte
sausage, cold cuts;Wurst
saw the Prater (Vienna amusement park);haben den Prater gesehen
Say / Tell (imperative or infinitive);Sagen
Say / Tell me (colloquial plural);Sagt mal
say it again (formal);sagen Sie noch einmal
scarlet fever;Scharlach
scheduled, according to plan;planmäßige
school;Schule
school cafeteria;Schulkantine
school days, school time;die Schulzeit, Sg.
school education;die Schulbildung
school leaving qualification;der Schulabschluss, -e
school year;das Schuljahr, -e
schoolyard;der Schulhof, -e
schulz@gmx.de (email address);schulz@gmx.de
scissors;die Schere, -n
sea/ocean;Meer
season;Jahreszeit
seasons;Jahreszeiten
seat reservation;die Platzreservierung, -en
second-hand shops, thrift stores;Secondhandläden
second-hand store/thrift shop;Secondhandladen
secondary modern school (German school type);die Hauptschule, -n
secondary modern school leaving certificate;der Hauptschulabschluss, -e
secretary;Sekretärin
secretary (female);Sekretärin
sections, segments;Abschnitten
See you soon!;Bis bald!
See you tomorrow;Bis morgen
self, myself/yourself etc.;selbst
self/oneself;selbst
sender;Absender
sensible, reasonable;vernünftig
sensitive;empfindlich
September;der September
serious;ernst
servings of fruit and vegetables;Portionen Obst und Gemüse
settlement, billing, statement;die Abrechnung, -en
shaver, razor;der Rasierapparat, -e
She meets;Sie trifft
she takes the bus;nimmt sie den Bus
shelf;Regal
shelf, rack;Regal
shelf, shelves;Regal
shift work;die Schichtarbeit, -en
shines / it seems;scheint
shines / it seems (from "scheinen");scheint
shines, seems;scheint
ship;Schiff
shipping company, freight forwarding;die Spedition, -en
shirt;Hemd
shoe;Schuh
shoes;Schuhe
shop, business;Geschäft
shop/business;Geschäft
shopped (past participle of einkaufen);eingekauft
Shopping;Einkaufen
Shopping in the department store;Im Kaufhaus einkaufen
shopping list;Einkaufszettel
shopping street;die Einkaufsstraße, -n
shopping/purchase;Einkauf
shops, stores;Geschäfte
short/brief;kurz
shortcut/abbreviation;Abkürzung
should come along;soll mitkommen
should/ought to;sollen
show me;zeig mal
siblings;Geschwister
sick again;schon wieder krank
sick note, medical certificate;die Krankschreibung
sick/ill;krank
side effects;die Nebenwirkungen, Pl.
sidewalk/pavement;Bürgersteig
sight, tourist attraction;die Sehenswürdigkeit
sights, tourist attractions;Sehenswürdigkeiten
sign/shield;Schild
signature;Unterschrift
simple/easy;einfach
since;seit
since 1998;seit 1998
since 2009;seit 2009
since 2014;seit 2014
since still / because still;da immer noch
since the beginning of 2014;seit Anfang 2014
since when ...?;seit wann ...?
since when?;seit wann?
single;ledig
single-family house;Einfamilienhaus
single/unmarried;ledig
sink;Spüle
sink, washbasin;Waschbecken
sister;Schwester
situation;Situation
size;Größe
skirt;Rock
skirts;Röcke
sleeping bag;der Schlafsack, -¨e
slice/pane;Scheibe
slices of ham;Scheiben Schinken
slide;Rutsche
slipper;Hausschuh
slow/slowly;langsam
small;klein
small parcel;Päckchen
small town;Kleinstadt
small, big;klein, groß
smartphone;Smartphone
snack bar/fast food stand;Imbiss
snow;Schnee
snowman;Schneemann
so fast;so schnell
so inexpensive;so preiswert
so long;so lang
so much fun;so viel Spaß
so, well, therefore;Also
so/thus;so
so/well;also
soccer;Fußball
soccer club;Fußballverein
soccer game;Fußballspiel
social;sozial
social networks;soziale Netzwerke
sock;Socke
socks;Socken
sofa/couch;Sofa
solidarity;die Solidarität, Sg.
some/several;einige
something;etwas
something else;etwas anderes
something stupid happened;etwas Dummes passiert
something/somewhat;etwas
sometimes;manchmal
sometimes also at noon;manchmal auch am Mittag
sometimes expensive;manchmal teuer
