English;German
package leaflet, information leaflet;der Beipackzettel, -
parents-in-law;die Schwiegereltern, Pl.
parents' evening;der Elternabend, -e
password;das Passwort, -¨er
patient;geduldig
pay, payment;die Bezahlung, Sg.
payment;die Zahlung, -en
pension insurance;die Rentenversicherung, -en
perfume;das Parfüm, -s
personal account;das Privatkonto, -konten
personal details;persönliche Daten
pet;das Haustier, -e
physics;die Physik, Sg
physiotherapist;der/die Krankengymnast/in, -en/-nen
pilot;der/die Pilot/in, -en/-nen
PIN (personal identification number);die PIN, -s
PIN, secret number;die Geheimnummer, -n
platform (at a station);der Bahnsteig, -e
pleasant, likeable, sympathetic;sympathisch
pocket money;das Taschengeld, Sg.
poem;das Gedicht, -e
police officer;der/die Polizist/in, -en/-nen
polite;höflich
politics;die Politik, Sg.
possibility, opportunity;die Möglichkeit, -en
possible;möglich
poster;das Plakat, -e
prerequisite, requirement;die Voraussetzung, -en
preventive medical check-up;die Vorsorgeuntersuchung, -en
primary school, elementary school;die Grundschule, -n.
printer;der Drucker, -
private life;das Privatleben, Sg.
private school;die Privatschule, -n
professional, vocational;beruflich
protection;der Schutz
public holiday, day off;der Feiertag, -e
public transport;öffentliche Verkehrsmittel
public transport association (regional);der Verkehrsverbund, -¨e
punctual, on time;pünktlich
a permanent position;eine feste Stelle
the part-time work (singular);die Teilzeitarbeit, Sg.
the program/broadcast, programs;die Sendung, -en
the pronunciation (singular);die Aussprache, Sg
to be pleased, to look forward to;sich freuen
to be present, to participate;dabei sein
to paint, to apply (paint);streichen
to participate (in);teilnehmen (an)
to pass (an exam);bestehen
to pass on a message;etwas ausrichten
to pay;bezahlen
to place, to put (vertical);stellen
to plan;planen
to postpone an appointment;einen Termin verschieben
to practice/exercise;üben
to prescribe;verschreiben
to press;drücken
to print;drucken
to put on (clothes), to attract;anziehen
