English;German
wallet, purse;die Brieftasche, -n
wallpaper;die Tapete, -n
warmth;die Wärme, Sg.
way to school, school route;der Schulweg, -e
weak;schwach
website;die Webseite, -n
wedding anniversary;der Hochzeitstag, -e
wedding cake;die Hochzeitstorte, -n
wedding celebration;die Hochzeitsfeier, -n
wedding dress;das Brautkleid, -er
weekend;das Wochenende
What a ...;Was für ein/eine/einen ..
whether, if;ob
why;warum
wife;die Ehefrau, -en
with good transport links, conveniently located for transport;verkehrsgünstig
with it, so that, therefore;damit
women's group;die Frauengruppe, -n
wonderfully beautiful, gorgeous;wunderschön
work break;die Arbeitspause, -n
work experience, professional experience;die Berufserfahrung, -en
Working with the computer;(B) Mit dem Computer arbeiten
workplace, job;der Arbeitsplatz, -e
works council;der Betriebsrat, -e
written/in writing;schriftlich
wrong number (connected incorrectly);falsch verbunden
