German;English
die Tür;the door
das Fenster;the window
die Uhr;the clock, watch
der Stuhl;the chair
das Plakat;the poster
die Tafel;the board, blackboard
die Lampe;the lamp
die Flasche;the bottle
das Papier;the paper
das Wörterbuch;the dictionary
der Kugelschreiber;the ballpoint pen
der Kuli;the pen (short for Kugelschreiber)
der Tisch;the table
der USB-Stick;the USB stick
der Schlüssel;the key
das Handy;the mobile phone
das Heft;the notebook, exercise book
die Brille;the glasses (eyewear)
das Buch;the book
die CD;the CD
die Tasche;the bag, pocket, purse
der Laptop;the laptop
das Tablet;the tablet
