Habt ihr euch gestritten?;Did you two have an argument?
Ein bisschen;A little
Sie versteht zum Beispiel nicht, dass ich Gebühren für mein Girokonto bezahle;She doesn't understand, for example, that I pay fees for my current account
Und sie will, dass ich Online-Banking mache;And she wants me to do online banking
Sie war schon fast wütend;She was almost angry
Wir haben lange darüber geredet.;We talked about it for a long time.
Das verstehe ich nicht;I don't understand that
Worüber war sie wütend?;What was she angry about?
Das ist doch deine Sache.;That's your business after all.
Ich verstehe das auch nicht.;I don't understand that either.
Wofür brauche ich Online-Banking?;What do I need online banking for?
Ich fülle die Überweisungsformulare aus und bringe sie zu meiner Bank.;I fill out the transfer forms and take them to my bank.
Wie macht ihr das denn?;How do you do it then?
keine langen Wege und muss nicht auf die Öffnungszeiten der Bank achten;no long distances and don't have to pay attention to the bank's opening hours
Und was für ein Girokonto habt ihr?;And what kind of current account do you have?
Zahlt ihr Gebühren?;Do you pay fees?
zahle Gebühren für mein Konto;I pay fees for my account
aber das ist ja auch ein Geschäftskonto;but that's a business account after all
Ich zahle nichts;I pay nothing
Wenn du willst, helfe ich dir, ein kostenloses Konto zu eröffnen.;If you want, I'll help you open a free account.
